date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2025-12-13,00:28.04,Waldo,jump_ten_rebuild,WR,Map,announcement,irc_set,,,,,76561198020256631,[U:1:59990903],
2025-12-13,00:11.20,Waldo,jump_ten_rebuild,WR,Bonus 2,record,zone_first,,,,3674739,76561198020256631,[U:1:59990903],
2025-12-13,00:08.91,Waldo,jump_ten_rebuild,WR,Bonus 3,record,zone_first,,,,3674739,76561198020256631,[U:1:59990903],
2025-12-13,00:11.92,Waldo,jump_ten_rebuild,WR,Bonus 4,record,zone_first,,,,3674739,76561198020256631,[U:1:59990903],
2025-12-13,00:06.66,Waldo,jump_ten_rebuild,WR,Bonus 5,record,zone_first,,,,3674739,76561198020256631,[U:1:59990903],
2025-12-13,00:24.27,♥Gryst♥,jump_ten_rebuild,WR,Map,record,map_record,,-00:00.69,00:01.18,3674941,76561198131281269,[U:1:171015541],
2025-12-13,00:23.16,♥Gryst♥,jump_ten_rebuild,WR,Map,record,map_record,,-00:01.11,00:01.11,3674941,76561198131281269,[U:1:171015541],
2025-12-13,00:19.50,♥Gryst♥,jump_ten_rebuild,WR,Map,record,map_record,,-00:03.66,00:03.66,3674941,76561198131281269,[U:1:171015541],
2025-12-13,00:17.19,♥Gryst♥,jump_ten_rebuild,WR,Map,record,map_record,,-00:02.31,00:02.31,3674941,76561198131281269,[U:1:171015541],
2025-12-13,00:31.74,Charlie,jump_ten_rebuild,WR,Bonus 1,record,zone_record,,-00:02.34,,3674843,76561197961895147,[U:1:1629419],
2025-12-13,00:11.01,Charlie,jump_ten_rebuild,WR,Bonus 4,record,zone_record,,-00:00.92,,3674843,76561197961895147,[U:1:1629419],
2025-12-13,00:06.34,cander,jump_ten_rebuild,WR,Bonus 2,record,zone_record,,-00:00.45,00:01.08,3675029,76561198318722879,[U:1:358457151],
2025-12-13,00:16.64,♥Gryst♥,jump_ten_rebuild,WR,Map,announcement,irc,,-00:00.56,,,,,
2025-12-13,00:16.53,unknown,jump_ten_rebuild,WR,Map,observed,wr_split,,,,,,,
2025-12-13,00:15.77,unknown,jump_ten_rebuild,WR,Map,observed,wr_split,,,,,,,
2025-12-13,00:09.66,Waldo,jump_ten_rebuild,WR,Bonus 4,command,wr_command,,,,,,,
2025-12-13,00:07.92,Waldo,jump_ten_rebuild,WR,Bonus 3,command,rank_command,,,,,,,
2025-12-13,00:09.54,vice,jump_ten_rebuild,WR,Bonus 4,record,zone_record,,-00:00.12,00:00.51,3675741,76561198366368448,[U:1:406102720],
2025-12-13,00:09.50,vice,jump_ten_rebuild,WR,Bonus 4,record,zone_record,,-00:00.04,00:00.04,3675741,76561198366368448,[U:1:406102720],
2025-12-13,00:09.28,vice,jump_ten_rebuild,WR,Bonus 4,record,zone_record,,-00:00.21,00:00.21,3675741,76561198366368448,[U:1:406102720],
2025-12-13,00:09.10,vice,jump_ten_rebuild,WR,Bonus 4,record,zone_record,,-00:00.18,00:00.18,3675741,76561198366368448,[U:1:406102720],
2025-12-13,00:15.76,5* ship cleaner,jump_ten_rebuild,WR,Map,command,wr_command,,,,,,,
2025-12-14,00:15.02,♥Gryst♥,jump_ten_rebuild,WR,Map,record,map_record,,-00:00.70,00:01.14,3676659,76561198131281269,[U:1:171015541],
2025-12-15,00:14.79,vice,jump_ten_rebuild,WR,Map,record,map_record,,-00:00.22,00:02.58,3677717,76561198366368448,[U:1:406102720],
2025-12-15,00:19.64,cander,jump_ten_rebuild,WR,Bonus 1,record,zone_record,,-00:00.18,,3677717,76561198318722879,[U:1:358457151],
2025-12-15,00:06.14,Farma,jump_ten_rebuild,WR,Bonus 3,record,zone_record,,-00:01.78,00:10.34,3678116,76561198124842300,[U:1:164576572],
2025-12-15,00:04.60,Farma,jump_ten_rebuild,WR,Bonus 5,record,zone_record,,-00:00.15,00:00.32,3678116,76561198124842300,[U:1:164576572],
2025-12-16,00:06.02,Farma,jump_ten_rebuild,WR,Bonus 3,record,zone_record,,-00:00.09,00:00.12,3679302,76561198124842300,[U:1:164576572],
2025-12-16,00:17.58,Farma,jump_ten_rebuild,WR,Bonus 1,record,zone_record,,-00:01.29,00:02.48,3679583,76561198124842300,[U:1:164576572],
2025-12-18,00:05.28,Farma,jump_ten_rebuild,WR,Bonus 3,record,zone_record,,-00:00.12,00:00.12,3681181,76561198124842300,[U:1:164576572],
2025-12-18,00:17.04,Farma,jump_ten_rebuild,WR,Bonus 1,record,zone_record,,-00:00.54,00:00.54,3681755,76561198124842300,[U:1:164576572],
2025-12-18,00:17.00,Farma,jump_ten_rebuild,WR,Bonus 1,record,zone_record,,-00:00.04,00:00.04,3681755,76561198124842300,[U:1:164576572],
2025-12-18,00:15.84,Farma,jump_ten_rebuild,WR,Bonus 1,record,zone_record,,-00:01.16,00:01.16,3681755,76561198124842300,[U:1:164576572],
