date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2019-10-23,06:34.55,Boshy,jump_tensor_a2_zip,WR,Map,command,rank_command,,,,,,,
2021-02-28,00:49.03,mky,jump_tensor_a2_zip,WR,Bonus 2,record,zone_record,,-00:02.98,00:02.98,1522486,76561197976761681,[U:1:16495953],
2021-03-06,00:34.35,Leඞgue,jump_tensor_a2_zip,WR,Bonus 1,record,zone_record,,-00:00.03,00:00.42,1527576,76561198152618680,[U:1:192352952],
2021-04-08,06:33.94,Solomon,jump_tensor_a2_zip,WR,Map,record,map_record,,-00:00.61,00:55.86,1558486,76561198096749316,[U:1:136483588],
2021-06-26,00:33.42,IV,jump_tensor_a2_zip,WR,Bonus 1,record,zone_record,,-00:00.93,00:00.96,1623106,76561198036170813,[U:1:75905085],
2021-06-26,00:32.92,IV,jump_tensor_a2_zip,WR,Bonus 1,record,zone_record,,-00:00.49,00:00.49,1623106,76561198036170813,[U:1:75905085],
2021-06-30,00:32.71,beagle,jump_tensor_a2_zip,WR,Bonus 1,record,zone_record,,-00:00.21,00:03.34,1626394,76561198084406120,[U:1:124140392],
2021-06-30,00:44.62,beagle,jump_tensor_a2_zip,WR,Bonus 2,record,zone_record,,-00:04.41,00:06.03,1626394,76561198084406120,[U:1:124140392],
2021-07-01,00:32.13,IV,jump_tensor_a2_zip,WR,Bonus 1,record,zone_record,,-00:00.58,00:00.79,1627143,76561198036170813,[U:1:75905085],
2021-07-01,00:31.00,IV,jump_tensor_a2_zip,WR,Bonus 1,record,zone_record,,-00:01.12,00:01.12,1627143,76561198036170813,[U:1:75905085],
2021-07-02,00:47.32,beagle,jump_tensor_a2_zip,WR,Bonus 2,record,zone_record,,-00:01.71,00:02.23,1627745,76561198084406120,[U:1:124140392],
2021-07-16,00:47.08,IV,jump_tensor_a2_zip,WR,Bonus 2,record,zone_record,,-00:00.24,00:09.03,1639233,76561198036170813,[U:1:75905085],
2022-03-30,00:44.23,IV,jump_tensor_a2_zip,WR,Bonus 2,record,zone_record,,-00:02.85,00:02.85,1902517,76561198036170813,[U:1:75905085],
2022-04-24,06:31.57,jump_the_b7,jump_tensor_a2_zip,WR,Map,record,map_record,,-00:05.56,00:05.56,1927190,76561198178042934,[U:1:217777206],
2022-04-24,06:05.26,jump_the_b7,jump_tensor_a2_zip,WR,Map,record,map_record,,-00:26.31,00:26.31,1927190,76561198178042934,[U:1:217777206],
2022-04-24,05:52.14,jump_the_b7,jump_tensor_a2_zip,WR,Map,record,map_record,,-00:13.12,00:13.12,1927299,76561198178042934,[U:1:217777206],
