date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2018-12-25,08:15.74,Tom,jump_tesseract_fix_v2,WR,Map,record,first_record,,,,850079,76561198207580561,[U:1:247314833],
2018-12-25,04:43.46,Tom,jump_tesseract_fix_v2,WR,Map,record,map_record,,-03:32.27,03:32.27,850079,76561198207580561,[U:1:247314833],
2018-12-25,04:02.35,Tom,jump_tesseract_fix_v2,WR,Map,record,map_record,,-00:41.11,00:41.11,850079,76561198207580561,[U:1:247314833],
2018-12-25,03:46.20,Tom,jump_tesseract_fix_v2,WR,Map,record,map_record,,-00:16.15,00:16.15,850079,76561198207580561,[U:1:247314833],
2018-12-25,03:37.81,Tom,jump_tesseract_fix_v2,WR,Map,record,map_record,,-00:08.38,00:08.38,850079,76561198207580561,[U:1:247314833],
2018-12-25,03:18.75,Tom,jump_tesseract_fix_v2,WR,Map,record,map_record,,-00:19.06,00:19.06,850079,76561198207580561,[U:1:247314833],
2018-12-27,02:56.12,unknown,jump_tesseract_fix_v2,WR,Map,observed,wr_split,,,,,,,
2019-01-10,02:29.44,Boshy -ttdark,jump_tesseract_fix_v2,WR,Map,command,wr_command,,,,,76561198066589108,[U:1:106323380],
2019-03-09,02:23.01,Vladimir Kramnik,jump_tesseract_fix_v2,WR,Map,record,map_record,,-00:06.43,00:06.43,910787,76561198066589108,[U:1:106323380],
2019-12-17,02:20.80,tomato tom,jump_tesseract_fix_v2,WR,Map,record,map_record,,-00:02.80,00:02.80,1125964,76561198120374593,[U:1:160108865],
2024-01-27,02:18.87,kairi,jump_tesseract_fix_v2,WR,Map,observed,wr_split,,,,,,,
2025-01-02,02:17.11,unknown,jump_tesseract_fix_v2,WR,Map,observed,wr_split,,,,,,,
2025-01-02,02:14.69,unknown,jump_tesseract_fix_v2,WR,Map,observed,wr_split,,,,,,,
2025-05-25,02:14.68,stinkydog.jpg,jump_tesseract_fix_v2,WR,Map,command,wr_command,,,,,,,
