date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2021-06-18,01:33.57,pena,jump_the_b7,WR,Bonus 4,record,zone_record,,-00:01.66,,1616744,76561198079017033,[U:1:118751305],
2021-06-18,00:02.88,Niro,jump_the_b7,WR,Bonus 9,record,zone_record,,-00:00.30,00:00.30,1616744,76561198286039965,[U:1:325774237],
2021-06-18,00:02.79,ruadhr1_,jump_the_b7,WR,Bonus 9,record,zone_record,,-00:00.19,00:00.19,1616744,76561198103740209,[U:1:143474481],
2021-06-18,00:02.77,ruadhr1_,jump_the_b7,WR,Bonus 9,record,zone_record,,-00:00.01,00:00.01,1616744,76561198103740209,[U:1:143474481],
2021-06-18,00:02.74,ruadhr1_,jump_the_b7,WR,Bonus 9,record,zone_record,,-00:00.03,00:00.03,1616744,76561198103740209,[U:1:143474481],
2021-06-18,00:02.65,♫Delirious♫,jump_the_b7,WR,Bonus 9,record,zone_record,,-00:00.12,00:00.12,1616744,,,
2021-06-18,00:02.61,♫Delirious♫,jump_the_b7,WR,Bonus 9,record,zone_record,,-00:00.04,00:00.04,1616744,,,
2021-06-18,00:15.97,beagle,jump_the_b7,WR,Bonus 1,record,zone_record,,-00:03.00,00:16.24,1616744,76561198084406120,[U:1:124140392],
2021-06-18,00:14.65,beagle,jump_the_b7,WR,Bonus 1,record,zone_record,,-00:01.32,00:01.32,1616744,76561198084406120,[U:1:124140392],
2021-06-18,00:02.52,♫Delirious♫,jump_the_b7,WR,Bonus 9,record,zone_record,,-00:00.09,00:00.09,1616744,,,
2021-06-18,00:02.49,♫Delirious♫,jump_the_b7,WR,Bonus 9,record,zone_record,,-00:00.03,00:00.03,1616744,,,
2021-06-18,00:14.17,beagle,jump_the_b7,WR,Bonus 1,record,zone_record,,-00:00.48,00:00.48,1616744,76561198084406120,[U:1:124140392],
2021-06-18,01:31.93,*** like that,jump_the_b7,WR,Bonus 4,record,zone_record,,-00:09.42,00:09.42,1616744,76561198875190290,[U:1:914924562],
2021-06-18,00:13.77,beagle,jump_the_b7,WR,Bonus 1,record,zone_record,,-00:00.40,00:00.40,1616744,76561198084406120,[U:1:124140392],
2021-06-18,00:11.17,beagle,jump_the_b7,WR,Bonus 1,record,zone_record,,-00:02.59,00:02.59,1616744,76561198084406120,[U:1:124140392],
2021-06-18,01:27.36,*** like that,jump_the_b7,WR,Bonus 4,record,zone_record,,-00:04.57,00:04.57,1616744,76561198875190290,[U:1:914924562],
2021-06-18,00:09.88,beagle,jump_the_b7,WR,Bonus 1,record,zone_record,,-00:01.29,00:01.29,1616744,76561198084406120,[U:1:124140392],
2021-06-18,00:03.06,beagle,jump_the_b7,WR,Bonus 8,record,zone_record,,-00:00.03,00:00.09,1616744,76561198084406120,[U:1:124140392],
2021-06-18,01:25.09,fred,jump_the_b7,WR,Bonus 4,record,zone_record,,-00:06.03,00:06.03,1616744,76561198016044075,[U:1:55778347],
