date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id
2014-07-07,01:41.22,rich democrat,jump_tissue,WR,MapRecord,,-00:10.65,00:14.53,false,9804,,
2014-09-09,01:31.61,50 in 5,jump_tissue,WR,MapRecord,,-00:09.60,00:09.60,false,21339,76561198078488228,[U:1:118222500]
2018-07-01,01:17.95,Soup -tt,jump_tissue,WR,MapRecord,,-00:00.85,00:00.85,false,693523,76561198029285343,[U:1:69019615]
2019-06-29,01:17.04,Soup -tt,jump_tissue,WR,MapRecord,,-00:00.14,00:00.14,false,997952,76561198029285343,[U:1:69019615]
2024-01-30,01:14.13,scoob,jump_tissue,WR,MapRun,03:18.90,+02:04.77,00:33.18,true,2709527,76561198121428371,[U:1:161162643]
2024-06-29,01:13.98,vice,jump_tissue,WR,IRC,,-00:00.15,,false,2926494,,
2024-11-04,01:11.64,Soup -tt,jump_tissue,WR,IRC,,-00:02.34,,false,3114807,,
2025-08-16,01:09.50,vice,jump_tissue,WR,IRC,,-00:00.93,,false,3452797,,
2025-08-16,01:09.49,cander,jump_tissue,WR,MapRun,01:15.03,+00:05.54,00:00.50,true,3453176,76561198318722879,[U:1:358457151]
2025-08-17,01:09.24,vice,jump_tissue,WR,IRC,,-00:00.26,,false,3453721,,
