date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2014-07-27,50:38.05,Xtra,jump_titan,WR,IRCSet,,,,false,12496,,,
2014-07-27,50:38.05,Xtra,jump_titan,WR,FirstRecord,,,,false,12498,76561198041487315,STEAM_0:1:40610793,
2014-07-28,00:04.04,Ryou,jump_titan,WR,Bonus 1,,-00:00.94,00:01.05,false,12619,76561198070882254,STEAM_0:0:55308263,
2014-07-28,00:04.16,Ryou,jump_titan,WR,Bonus 2,,-00:00.37,00:00.39,false,12619,76561198070882254,STEAM_0:0:55308263,
2014-07-28,09:59.46,Ryou,jump_titan,WR,MapRecord,,-40:38.58,,false,12619,76561198070882254,STEAM_0:0:55308263,
2014-07-28,09:59.46,Ryou,jump_titan,WR,IRC,,-40:38.58,,false,12620,,,
2014-07-28,03:28.89,cody #Shunix's T...,jump_titan,WR,MapRecord,,-01:45.60,01:45.60,false,12662,76561198078488228,STEAM_0:0:59111250,
2014-07-28,05:14.49,cody #Shunix's T...,jump_titan,WR,MapRecord,,-04:44.96,,false,12662,76561198078488228,STEAM_0:0:59111250,
2014-08-07,03:22.07,garythegoat,jump_titan,WR,MapRecord,,-00:06.81,,false,14388,76561198148727021,STEAM_0:1:94230646,
2014-08-07,03:28.89,cody,jump_titan,WR,Compact,,,,false,14388,,,
2014-08-07,03:28.89,cody,jump_titan,WR,Compact,,,,false,14388,,,
2014-08-07,03:28.89,cody,jump_titan,WR,Compact,,,,false,14388,,,
2014-08-07,03:22.07,garythegoat,jump_titan,WR,IRC,,-00:06.81,,false,14389,,,
2014-08-10,03:12.32,garythegoat in d...,jump_titan,WR,MapRecord,,-00:09.74,00:16.56,false,14916,76561198078488228,STEAM_0:0:59111250,
2014-10-12,00:04.03,Soup Can,jump_titan,WR,Bonus 2,,-00:00.13,00:00.40,false,23076,76561198029285343,[U:1:69019615],
2014-10-12,02:39.52,Kucino -kk,jump_titan,WR,MapRecord,,-00:32.80,00:35.92,false,23076,76561198045405184,[U:1:85139456],
2014-10-12,02:37.91,Koi Passionbreez,jump_titan,WR,MapRecord,,-00:01.60,00:34.41,false,23082,,,
2014-11-19,02:22.66,Torii,jump_titan,WR,MapRecord,,-00:15.25,02:18.39,false,31528,76561198017342289,[U:1:57076561],
2014-11-19,02:22.66,Torii,jump_titan,WR,Compact,,,,false,31528,76561198017342289,[U:1:57076561],
2014-11-23,02:07.35,E&A day,jump_titan,WR,MapRecord,,-00:15.31,00:30.56,false,32517,76561198078488228,[U:1:118222500],
2016-05-07,01:29.96,Soup,jump_titan,WR,MapRecord,,-00:12.41,00:12.41,false,248185,76561198029285343,[U:1:69019615],
2017-12-05,00:03.61,cs,jump_titan,WR,Bonus 2,,-00:00.07,00:00.22,false,518353,76561198029285343,[U:1:69019615],
2017-12-05,01:17.18,cs,jump_titan,WR,MapRecord,,-00:07.99,,false,518353,76561198029285343,[U:1:69019615],
2017-12-05,01:17.18,cs,jump_titan,WR,IRC,,-00:07.99,,false,518380,,,
2019-03-02,01:17.16,decagon,jump_titan,WR,MapRun,01:25.83,+00:08.67,00:02.56,true,905581,76561198281755237,[U:1:321489509],
2019-08-14,00:03.76,cander,jump_titan,WR,Bonus 1,,-00:00.04,00:00.04,false,1034228,76561198318722879,[U:1:358457151],
2019-09-06,00:03.74,song -charizard,jump_titan,WR,Bonus 1,,,,false,1051763,,,
2019-09-06,00:03.74,song -charizard,jump_titan,WR,Bonus 1,,-00:00.01,00:00.02,false,1051763,,,
2019-09-06,00:03.74,バンザイ突,jump_titan,WR,Bonus 1,,-00:00.00,00:00.00,false,1051763,,,
2019-09-07,00:03.74,song -charizard,jump_titan,WR,Bonus 1,,-00:00.00,00:00.00,false,1052422,,,
2019-09-18,00:03.75,anime otaku,jump_titan,WR,Bonus 1,,-00:00.00,00:00.01,false,1060961,,,
2019-10-13,00:03.74,song,jump_titan,WR,Bonus 1,,-00:00.00,00:00.00,false,1079896,76561198210286877,[U:1:250021149],
2019-12-09,00:03.64,cander ุ ุ,jump_titan,WR,Bonus 1,,-00:00.10,00:00.10,false,1120393,,,
2019-12-29,01:13.82,Soup -tt,jump_titan,WR,IRC,,-00:03.33,,false,1135723,,,
2019-12-29,01:13.82,Soup -tt,jump_titan,WR,MapRecord,,-00:03.33,00:03.35,false,1135781,76561198029285343,[U:1:69019615],
2020-07-31,00:03.74,shakez,jump_titan,WR,Bonus 1,,-00:00.00,00:00.01,false,1314771,76561198312076035,[U:1:351810307],
2020-08-17,01:11.76,rip eyes,jump_titan,WR,IRC,,-00:02.06,,false,1328746,,,
2020-08-18,01:11.76,rip eyes,jump_titan,WR,MapRecord,,-00:02.06,00:03.86,false,1328759,76561198222006144,[U:1:261740416],
2020-08-18,01:11.76,rip eyes,jump_titan,WR,Compact,,,,false,1328759,76561198222006144,[U:1:261740416],
2021-03-08,01:09.84,orangekate,jump_titan,WR,IRC,,-00:01.26,,false,1529623,,,
2021-03-08,01:09.84,orangekate,jump_titan,WR,MapRecord,,-00:01.26,00:01.92,false,1529662,76561198222006144,[U:1:261740416],
2021-09-07,01:09.31,soup,jump_titan,WR,IRC,,-00:00.52,,false,1698207,,,
2021-09-07,01:09.31,soup,jump_titan,WR,IRC,,-00:00.52,,false,1698232,,,
2021-09-07,01:09.31,soup,jump_titan,WR,MapRecord,,-00:00.52,00:01.78,false,1698279,76561198029285343,[U:1:69019615],
2024-06-18,00:03.55,suh,jump_titan,WR,Bonus 2,,,,true,2910277,,,
2024-07-01,01:08.83,vice,jump_titan,WR,IRC,,-00:00.48,,false,2929009,,,
2024-07-01,01:08.83,vice,jump_titan,WR,IRC,,-00:00.48,,false,2929006,,,
2024-07-01,01:08.83,vice,jump_titan,WR,IRC,,-00:00.48,,false,2929016,,,
2024-07-01,01:08.83,vice,jump_titan,WR,IRC,,-00:00.48,,false,2929000,,,
2024-07-01,01:08.83,vice,jump_titan,WR,IRC,,-00:00.48,,false,2929042,,,
2024-07-01,01:08.83,vice,jump_titan,WR,IRC,,-00:00.48,,false,2929029,,,
2024-07-01,01:08.83,vice,jump_titan,WR,IRC,,-00:00.48,,false,2929026,,,
2024-07-01,01:08.83,vice,jump_titan,WR,IRC,,-00:00.48,,false,2929027,,,
2024-07-01,00:03.54,cander,jump_titan,WR,Bonus 2,,-00:00.01,00:00.03,false,2928963,76561198318722879,[U:1:358457151],
2024-07-01,01:08.83,vice,jump_titan,WR,MapRecord,,-00:00.48,00:00.60,false,2928963,76561198366368448,[U:1:406102720],
