date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2018-10-13,05:22.86,Klowwd,jump_toot_rc3,WR,Map,record,first_record,,,,788038,76561198064099697,[U:1:103833969],
2018-10-13,03:53.37,newjuls -ttdark,jump_toot_rc3,WR,Map,record,map_record,,-01:29.49,,788044,76561198396018338,[U:1:435752610],
2018-10-13,00:04.69,newjuls -ttdark,jump_toot_rc3,WR,Bonus 1,record,zone_first,,,,788044,76561198396018338,[U:1:435752610],
2018-10-13,00:06.61,newjuls -ttdark,jump_toot_rc3,WR,Bonus 2,record,zone_first,,,,788044,76561198396018338,[U:1:435752610],
2018-10-13,00:04.41,Psychoskinny.,jump_toot_rc3,WR,Bonus 1,record,zone_record,,-00:00.28,,788053,76561198180610262,[U:1:220344534],
2018-10-13,00:03.34,Psychoskinny.,jump_toot_rc3,WR,Bonus 1,record,zone_record,,-00:01.06,00:01.06,788053,76561198180610262,[U:1:220344534],
2018-10-13,00:03.22,Psychoskinny.,jump_toot_rc3,WR,Bonus 1,record,zone_record,,-00:00.11,00:00.11,788053,76561198180610262,[U:1:220344534],
2018-10-13,00:02.95,Psychoskinny.,jump_toot_rc3,WR,Bonus 1,record,zone_record,,-00:00.26,00:00.26,788053,76561198180610262,[U:1:220344534],
2018-10-13,00:05.43,Psychoskinny.,jump_toot_rc3,WR,Bonus 2,record,zone_record,,-00:01.18,,788053,76561198180610262,[U:1:220344534],
2018-10-13,00:04.48,Psychoskinny.,jump_toot_rc3,WR,Bonus 2,record,zone_record,,-00:00.94,00:00.94,788053,76561198180610262,[U:1:220344534],
2018-10-13,00:02.87,kater ツ,jump_toot_rc3,WR,Bonus 1,record,zone_record,,-00:00.07,00:00.09,788053,76561198222006144,[U:1:261740416],
2018-10-13,00:04.22,kater ツ,jump_toot_rc3,WR,Bonus 2,record,zone_record,,-00:00.25,,788053,76561198222006144,[U:1:261740416],
2018-10-13,00:04.09,kater ツ,jump_toot_rc3,WR,Bonus 2,record,zone_record,,-00:00.13,00:00.13,788053,76561198222006144,[U:1:261740416],
2018-10-13,00:04.01,kater ツ,jump_toot_rc3,WR,Bonus 2,record,zone_record,,-00:00.07,00:00.07,788053,76561198222006144,[U:1:261740416],
2018-10-13,00:03.97,kater ツ,jump_toot_rc3,WR,Bonus 2,record,zone_record,,-00:00.04,00:00.04,788053,76561198222006144,[U:1:261740416],
2018-10-13,00:02.86,Luke.,jump_toot_rc3,WR,Bonus 1,record,zone_record,,-00:00.20,00:00.20,788053,76561198098414676,[U:1:138148948],
2018-10-13,00:03.87,kater ツ,jump_toot_rc3,WR,Bonus 2,record,zone_record,,-00:00.09,00:00.09,788053,76561198222006144,[U:1:261740416],
2018-10-13,00:02.84,Luke.,jump_toot_rc3,WR,Bonus 1,record,zone_record,,-00:00.01,00:00.01,788053,76561198098414676,[U:1:138148948],
2018-10-13,00:02.83,kater ツ,jump_toot_rc3,WR,Bonus 1,record,zone_record,,-00:00.01,00:00.04,788053,76561198222006144,[U:1:261740416],
2018-10-13,00:02.69,kater ツ,jump_toot_rc3,WR,Bonus 1,record,zone_record,,-00:00.13,00:00.13,788053,76561198222006144,[U:1:261740416],
2018-10-13,00:02.64,Stormyy,jump_toot_rc3,WR,Bonus 1,record,zone_record,,-00:00.07,00:00.07,788053,76561198799815610,[U:1:839549882],
2018-10-13,00:02.59,Stormyy,jump_toot_rc3,WR,Bonus 1,record,zone_record,,-00:00.04,00:00.04,788053,76561198799815610,[U:1:839549882],
2018-10-13,00:02.42,kater ツ,jump_toot_rc3,WR,Bonus 1,record,zone_record,,-00:00.16,00:00.27,788053,76561198222006144,[U:1:261740416],
2018-10-13,00:02.37,Stormyy,jump_toot_rc3,WR,Bonus 1,record,zone_record,,-00:00.10,00:00.10,788053,76561198799815610,[U:1:839549882],
2018-10-13,00:02.25,kater ツ,jump_toot_rc3,WR,Bonus 1,record,zone_record,,-00:00.11,00:00.13,788053,76561198222006144,[U:1:261740416],
2018-10-13,02:53.12,kaperoaerjope,jump_toot_rc3,WR,Map,record,map_record,,-00:18.89,03:25.81,788053,76561198058846478,[U:1:98580750],
2018-10-13,02:45.99,jtravs,jump_toot_rc3,WR,Map,record,map_record,,-00:06.31,00:11.56,788053,76561198117262056,[U:1:156996328],
2018-10-13,02:20.32,kaperoaerjope,jump_toot_rc3,WR,Map,record,map_record,,-00:14.23,00:32.80,788053,76561198058846478,[U:1:98580750],
2018-10-13,02:18.60,newjuls -ttdark,jump_toot_rc3,WR,Map,record,map_record,,-00:01.71,00:21.87,788053,76561198396018338,[U:1:435752610],
2018-10-15,02:10.51,vice,jump_toot_rc3,WR,Map,record,map_record,,-00:08.09,00:08.47,790099,76561198366368448,[U:1:406102720],
