date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2014-07-27,00:53.38,25m,jump_tpn_rc3,WR,Course 1,,-00:01.80,00:03.13,false,12513,76561198053067670,STEAM_0:0:46400971,
2014-07-27,02:56.41,25m,jump_tpn_rc3,WR,Course 2,,-00:09.06,00:34.29,false,12513,76561198053067670,STEAM_0:0:46400971,
2014-07-27,04:03.86,25m,jump_tpn_rc3,WR,MapRecord,,-00:21.04,00:25.48,false,12513,76561198053067670,STEAM_0:0:46400971,
2014-07-27,04:03.86,25m,jump_tpn_rc3,WR,IRC,,-00:21.04,,false,12515,76561198053067670,STEAM_0:0:46400971,
2014-10-17,00:49.99,guyyst,jump_tpn_rc3,WR,Course 1,,-00:00.46,00:02.17,false,24311,76561198041343262,[U:1:81077534],
2014-10-17,02:39.17,guyyst,jump_tpn_rc3,WR,Course 2,,-00:14.74,00:14.74,false,24311,76561198041343262,[U:1:81077534],
2014-10-17,02:53.92,guyyst,jump_tpn_rc3,WR,Course 2,,-00:02.49,00:11.55,false,24311,76561198041343262,[U:1:81077534],
2014-10-17,03:47.33,guyyst,jump_tpn_rc3,WR,MapRecord,,-00:16.53,00:37.57,false,24311,76561198041343262,[U:1:81077534],
2014-10-17,04:03.86,Aurora -tt,jump_tpn_rc3,WR,Compact,,,,false,24311,,,
2018-02-04,03:07.01,pootboy67,jump_tpn_rc3,WR,MapRun,52:03.53,+48:56.52,,true,568556,76561198136218040,[U:1:175952312],
2019-05-26,03:07.02,TriceraQuach,jump_tpn_rc3,WR,MapRun,59:50.20,+56:43.18,,true,971175,76561198044743809,[U:1:84478081],
2019-05-26,03:07.02,feed baba,jump_tpn_rc3,WR,MapRun,20:00.88,+16:53.86,,true,971175,76561198136156676,[U:1:175890948],
2019-05-26,03:07.02,meta4,jump_tpn_rc3,WR,MapRun,18:06.12,+14:59.10,,true,971175,76561198067480150,[U:1:107214422],
2019-06-01,03:07.02,chiyo -ttdark,jump_tpn_rc3,WR,MapRun,22:56.98,+19:49.96,,true,976289,76561198046582124,[U:1:86316396],
2019-06-01,03:07.02,deyan,jump_tpn_rc3,WR,MapRun,57:38.41,+54:31.39,,true,976289,76561198048435369,[U:1:88169641],
2019-06-01,03:07.02,rvr is not a map,jump_tpn_rc3,WR,MapRun,39:21.19,+36:14.17,,true,976289,,,
2019-08-04,03:07.01,porkie,jump_tpn_rc3,WR,MapRun,03:47.09,+00:40.08,,true,1026638,76561198054239403,[U:1:93973675],
2019-08-04,03:07.01,porkie,jump_tpn_rc3,WR,MapRun,06:13.73,+03:06.72,,true,1026638,76561198054239403,[U:1:93973675],
2019-08-04,03:07.02,porkie,jump_tpn_rc3,WR,MapRun,05:02.53,+01:55.51,,true,1026638,76561198054239403,[U:1:93973675],
2020-04-01,00:26.69,mmmmm,jump_tpn_rc3,WR,Bonus 1,,-00:01.24,00:02.52,false,1212639,76561198083131259,[U:1:122865531],
2020-04-01,03:07.02,pussy destroyer,jump_tpn_rc3,WR,MapRun,43:04.96,+39:57.94,,true,1212639,76561197992500770,[U:1:32235042],
