date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2021-07-02,09:24.96,Htwo,jump_turnuround_fix,WR,Map,record,first_record,,,,1627802,76561197970114051,[U:1:9848323],
2021-07-02,05:42.19,pena,jump_turnuround_fix,WR,Map,record,map_record,,-03:42.76,,1627802,76561198079017033,[U:1:118751305],
2021-07-02,01:25.59,Htwo,jump_turnuround_fix,WR,Bonus 1,record,zone_first,,,,1627802,76561197970114051,[U:1:9848323],
2021-07-02,01:20.25,Fluffie,jump_turnuround_fix,WR,Bonus 1,record,zone_record,,-00:05.34,,1627802,76561198028114870,[U:1:67849142],
2021-07-02,00:47.38,pena,jump_turnuround_fix,WR,Bonus 1,record,zone_record,,-00:32.86,,1627802,76561198079017033,[U:1:118751305],
2021-07-02,04:04.77,karen,jump_turnuround_fix,WR,Map,record,map_record,,-04:31.81,04:31.81,1627802,76561198129792794,[U:1:169527066],
2021-07-02,00:40.06,pena,jump_turnuround_fix,WR,Bonus 1,record,zone_record,,-00:07.32,00:07.32,1627802,76561198079017033,[U:1:118751305],
2021-07-02,03:59.04,pena,jump_turnuround_fix,WR,Map,record,map_record,,-01:43.15,01:43.15,1627802,76561198079017033,[U:1:118751305],
2021-07-02,03:41.58,pena,jump_turnuround_fix,WR,Map,record,map_record,,-00:17.46,00:17.46,1627802,76561198079017033,[U:1:118751305],
2021-07-02,02:59.40,pena,jump_turnuround_fix,WR,Map,record,map_record,,-00:42.18,00:42.18,1627802,76561198079017033,[U:1:118751305],
2021-07-02,02:35.41,vice,jump_turnuround_fix,WR,Map,announcement,irc,,-00:23.98,,,,,
2021-07-02,02:21.33,Pitzah,jump_turnuround_fix,WR,Map,announcement,irc,,-00:14.08,,,,,
2021-07-02,01:43.74,vice,jump_turnuround_fix,WR,Map,announcement,irc,,-00:37.59,,,,,
2021-07-03,01:33.87,Waldo,jump_turnuround_fix,WR,Map,record,map_record,,-00:18.33,00:18.33,1628282,76561198020256631,[U:1:59990903],
2021-07-04,00:23.50,phancy,jump_turnuround_fix,WR,Bonus 1,record,zone_record,,-00:01.21,00:04.86,1629442,76561198116189732,[U:1:155924004],
2021-07-04,01:33.09,jtravs,jump_turnuround_fix,WR,Map,record,map_record,,-00:00.78,00:09.39,1629447,76561198117262056,[U:1:156996328],
2021-07-05,00:21.25,Waldo,jump_turnuround_fix,WR,Bonus 1,record,zone_record,,-00:03.46,00:03.46,1629931,76561198020256631,[U:1:59990903],
2021-07-05,01:27.42,Waldo,jump_turnuround_fix,WR,Map,record,map_record,,-00:06.45,00:06.45,1629931,76561198020256631,[U:1:59990903],
2021-07-05,01:22.83,Waldo,jump_turnuround_fix,WR,Map,record,map_record,,-00:04.59,00:04.59,1629931,76561198020256631,[U:1:59990903],
2021-07-05,01:21.36,Waldo,jump_turnuround_fix,WR,Map,record,map_record,,-00:01.47,00:01.47,1629931,76561198020256631,[U:1:59990903],
2021-07-13,01:21.09,wip,jump_turnuround_fix,WR,Map,announcement,irc,,-00:00.27,,,,,
2021-07-13,01:17.01,wip,jump_turnuround_fix,WR,Map,announcement,irc,,-00:04.08,,,,,
2021-07-13,01:09.88,wip,jump_turnuround_fix,WR,Map,announcement,irc,,-00:07.12,,,,,
2023-10-13,01:06.90,Matty,jump_turnuround_fix,WR,Map,record,map_record,,-00:02.98,00:03.07,2543341,76561198035204545,[U:1:74938817],
