date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id
2018-01-09,01:15.65,gonk,jump_tutankhamun,WR,IRC,,-00:10.39,,false,547663,76561198396018338,[U:1:435752610]
2018-01-09,01:13.16,It's a dessert!,jump_tutankhamun,WR,MapRun,10:57.26,+09:44.10,,true,547941,76561198083345384,[U:1:123079656]
2018-01-09,01:11.27,MrHappyCamper,jump_tutankhamun,WR,MapRun,06:44.02,+05:32.75,,true,548020,76561198053056815,[U:1:92791087]
2018-01-10,01:11.26,Consition,jump_tutankhamun,WR,MapRun,08:09.50,+06:58.24,,true,548119,76561198045329479,[U:1:85063751]
2018-01-10,01:10.36,vice,jump_tutankhamun,WR,IRC,,-00:00.90,,false,548159,76561197960496196,[U:1:230468]
2018-01-11,01:10.03,mesatech,jump_tutankhamun,WR,MapRecord,,-00:00.32,00:04.70,false,549015,76561198111845972,[U:1:151580244]
2018-05-11,01:08.86,Starkie,jump_tutankhamun,WR,MapRecord,,-00:01.17,00:01.17,false,646678,76561198008003429,[U:1:47737701]
2019-02-18,01:08.14,transformation M,jump_tutankhamun,WR,MapRecord,,-00:00.71,00:02.21,false,895868,,
2019-07-17,01:03.85,Boshy,jump_tutankhamun,WR,MapRecord,,-00:01.62,00:01.62,false,1012470,76561198046601398,[U:1:86335670]
2019-08-04,01:03.25,maxxy,jump_tutankhamun,WR,MapRecord,,-00:00.59,00:02.35,false,1026299,,
2022-10-10,00:59.85,brand new eyes,jump_tutankhamun,WR,IRC,,-00:02.47,,false,2083033,,
2023-05-22,00:59.28,Jaffxsman,jump_tutankhamun,WR,MapRecord,,-00:00.40,00:00.66,false,2330123,76561198091905306,[U:1:131639578]
2023-05-23,00:58.77,Jaffxsman,jump_tutankhamun,WR,IRC,,-00:00.51,,false,2331511,,
2023-05-24,00:58.69,Jaffxsman,jump_tutankhamun,WR,MapRecord,,-00:00.07,00:00.07,false,2331567,76561198091905306,[U:1:131639578]
