date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2018-01-09,20:49.54,Dr. Heinz 🌷,jump_tutankhamun,WR,Map,record,first_record,,,,547663,76561197999361638,[U:1:39095910],
2018-01-09,00:09.58,Dr. Heinz 🌷,jump_tutankhamun,WR,Bonus 1,record,zone_first,,,,547663,76561197999361638,[U:1:39095910],
2018-01-09,17:52.09,gonk,jump_tutankhamun,WR,Map,announcement,irc,,-02:57.45,,,76561198396018338,[U:1:435752610],
2018-01-09,05:54.25,gonk,jump_tutankhamun,WR,Map,announcement,irc,,-11:57.84,,,76561198396018338,[U:1:435752610],
2018-01-09,03:25.15,Chief,jump_tutankhamun,WR,Map,record,map_record,,-02:29.09,02:44.28,547686,76561198122579111,[U:1:162313383],
2018-01-09,02:50.68,Chief,jump_tutankhamun,WR,Map,record,map_record,,-00:34.47,00:34.47,547686,76561198122579111,[U:1:162313383],
2018-01-09,02:41.55,Chief,jump_tutankhamun,WR,Map,record,map_record,,-00:09.13,00:09.13,547686,76561198122579111,[U:1:162313383],
2018-01-09,00:07.55,Chief,jump_tutankhamun,WR,Bonus 1,record,zone_record,,-00:02.02,,547686,76561198122579111,[U:1:162313383],
2018-01-09,00:06.95,Chief,jump_tutankhamun,WR,Bonus 1,record,zone_record,,-00:00.59,00:00.59,547686,76561198122579111,[U:1:162313383],
2018-01-09,02:18.92,WeEdSmOkEr824,jump_tutankhamun,WR,Map,observed,wr_split,,,,,,,
2018-01-10,02:13.68,Chief,jump_tutankhamun,WR,Map,record,map_record,,-00:05.24,00:27.86,548119,76561198122579111,[U:1:162313383],
2018-01-10,00:06.58,Chief,jump_tutankhamun,WR,Bonus 1,record,zone_record,,-00:00.06,00:00.14,548119,76561198122579111,[U:1:162313383],
2018-01-10,02:06.35,kaptain,jump_tutankhamun,WR,Map,record,map_record,,-00:07.32,00:21.22,548575,76561198033727092,[U:1:73461364],
2018-01-10,01:56.84,mojo jojo,jump_tutankhamun,WR,Map,record,map_record,,-00:09.51,00:21.28,548575,76561198008003429,[U:1:47737701],
2019-01-10,01:48.35,tear,jump_tutankhamun,WR,Map,record,map_record,,-00:08.48,00:37.18,863604,76561198066947056,[U:1:106681328],
2019-01-11,01:42.07,tear,jump_tutankhamun,WR,Map,record,map_record,,-00:06.28,00:06.28,864220,76561198066947056,[U:1:106681328],
2019-01-11,01:33.46,tear,jump_tutankhamun,WR,Map,record,map_record,,-00:08.60,00:08.60,864220,76561198066947056,[U:1:106681328],
2019-07-17,00:06.54,vice,jump_tutankhamun,WR,Bonus 1,record,zone_record,,-00:00.04,00:00.19,1012137,76561198366368448,[U:1:406102720],
2019-07-17,00:05.80,Boshy,jump_tutankhamun,WR,Bonus 1,record,zone_record,,-00:00.73,00:01.70,1012506,76561198046601398,[U:1:86335670],
2023-05-11,01:30.48,pharaoh phil,jump_tutankhamun,WR,Map,announcement,irc,,-00:02.99,,,,,
2023-05-12,01:29.43,pharaoh phil,jump_tutankhamun,WR,Map,record,map_record,,-00:01.05,00:01.05,2315428,76561198392773187,[U:1:432507459],
2023-05-12,01:28.08,pharaoh phil,jump_tutankhamun,WR,Map,record,map_record,,-00:01.35,00:01.35,2315428,76561198392773187,[U:1:432507459],
2023-06-01,01:25.81,pharaoh phil,jump_tutankhamun,WR,Map,record,map_record,,-00:02.26,00:02.26,2343561,76561198392773187,[U:1:432507459],
2025-02-16,01:20.31,Zagrfige,jump_tutankhamun,WR,Map,announcement,irc,,-00:05.50,,,76561198392773187,[U:1:432507459],
