date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id
2015-05-16,17:09.28,seras,jump_twelve_rc1,WR,IRCSet,,,,false,94383,,
2015-05-16,05:33.44,ＫＵＣＩＮ,jump_twelve_rc1,WR,IRC,,-02:51.42,,false,94390,,
2015-05-17,04:09.96,Soup Can,jump_twelve_rc1,WR,MapRecord,,-00:12.63,00:42.75,false,94959,,
2015-05-19,02:40.09,i grew up  a fuc,jump_twelve_rc1,WR,MapRecord,,-00:35.71,00:35.71,false,95658,,
2015-06-13,02:22.18,Soup Can,jump_twelve_rc1,WR,MapRecord,,-00:17.91,00:21.12,false,105980,76561198029285343,[U:1:69019615]
2017-11-18,01:37.40,Boshy's birdbrai,jump_twelve_rc1,WR,MapRecord,,-00:00.84,00:02.00,false,505536,,
2017-11-21,01:29.51,Soup -tt,jump_twelve_rc1,WR,MapRecord,,-00:07.88,00:08.73,false,508065,76561198029285343,[U:1:69019615]
2019-01-06,01:27.73,vice,jump_twelve_rc1,WR,IRC,,-00:01.78,,false,859753,76561198366368448,[U:1:406102720]
2019-01-22,01:27.44,twitch.tv/newjul,jump_twelve_rc1,WR,MapRecord,,-00:00.28,00:23.49,false,873023,,
2020-04-14,01:21.75,pi,jump_twelve_rc1,WR,MapRecord,,-00:02.31,00:04.10,false,1224498,76561198222006144,[U:1:261740416]
2021-03-04,01:20.56,kate,jump_twelve_rc1,WR,MapRecord,,-00:01.19,00:01.19,false,1525940,,
2022-05-14,01:19.05,Soup -tt,jump_twelve_rc1,WR,IRC,,-00:01.51,,false,1947649,,
2023-12-20,01:15.28,Matty,jump_twelve_rc1,WR,MapRecord,,-00:03.76,00:04.21,false,2645576,76561198035204545,[U:1:74938817]
