date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id
2015-05-16,07:45.62,minty,jump_twelve_rc1,WR,IRC,,-02:07.65,,false,94383,,
2015-05-16,04:15.59,func,jump_twelve_rc1,WR,IRC,,-00:59.83,,false,94390,76561198088581265,[U:1:128315537]
2015-05-17,03:48.34,jondeasy,jump_twelve_rc1,WR,MapRecord,,-00:25.07,00:25.07,false,94671,,
2017-11-18,02:24.29,igna,jump_twelve_rc1,WR,MapRun,04:33.77,+02:09.48,02:48.32,true,505536,,
2019-05-23,02:12.11,FastFox73,jump_twelve_rc1,WR,MapRecord,,-00:12.17,00:12.17,false,969400,76561198046601398,[U:1:86335670]
2022-04-05,02:05.86,Makly,jump_twelve_rc1,WR,IRC,,-00:05.47,,false,1908064,,
2022-04-07,02:04.62,pevkele -bbc ๑,jump_twelve_rc1,WR,MapRecord,,-00:01.24,00:18.75,false,1909793,,
2022-04-08,01:56.68,pevkele ๑ﭥ -,jump_twelve_rc1,WR,MapRecord,,-00:02.65,00:02.65,false,1910660,,
2022-04-17,01:54.78,ondkaja,jump_twelve_rc1,WR,MapRecord,,-00:01.90,00:02.67,false,1919217,76561198010123351,[U:1:49857623]
2022-08-26,01:50.35,bunny.,jump_twelve_rc1,WR,IRC,,-00:04.42,,false,2038089,,
2023-05-23,01:49.39,makly,jump_twelve_rc1,WR,MapRecord,,-00:00.96,00:02.32,false,2331437,76561197976761681,[U:1:16495953]
2023-05-25,01:47.16,Helmi.,jump_twelve_rc1,WR,IRC,,-00:02.23,,false,2334297,76561198201985399,[U:1:241719671]
2023-07-29,01:45.39,ondkaja,jump_twelve_rc1,WR,IRC,,-00:01.77,,false,2429093,,
2025-05-24,01:45.38,3DEN,jump_twelve_rc1,WR,MapRun,13:46.12,+12:00.74,,true,3331788,76561198129712536,[U:1:169446808]
