date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2017-12-22,00:01.63,shakez,jump_ultimatebuttfucker_a2,WR,Bonus 1,command,wr_command,,,,,76561198312076035,[U:1:351810307],
2018-08-04,01:54.28,gancho,jump_ultimatebuttfucker_a2,WR,Map,command,wr_command,,,,,,,
2018-08-04,00:00.88,mesatech,jump_ultimatebuttfucker_a2,WR,Bonus 1,record,zone_record,,-00:00.71,00:00.81,725273,76561198111845972,[U:1:151580244],
2018-08-04,00:04.27,Zike1017 ツ -tt,jump_ultimatebuttfucker_a2,WR,Bonus 2,record,zone_record,,-00:00.04,00:00.58,725273,,,
2018-10-15,01:48.17,newjuls -ttdark,jump_ultimatebuttfucker_a2,WR,Map,record,map_record,,-00:06.10,00:17.04,789747,76561198396018338,[U:1:435752610],
2019-05-23,00:00.72,mesatech,jump_ultimatebuttfucker_a2,WR,Bonus 1,record,zone_record,,-00:00.16,00:00.16,969564,76561198111845972,[U:1:151580244],
2019-05-23,00:00.68,mesatech,jump_ultimatebuttfucker_a2,WR,Bonus 1,record,zone_record,,-00:00.03,00:00.03,969564,76561198111845972,[U:1:151580244],
2019-11-25,00:00.61,super song,jump_ultimatebuttfucker_a2,WR,Bonus 1,record,zone_record,,-00:00.07,,1110059,76561198210286877,[U:1:250021149],
2019-12-17,00:04.21,foxgirl,jump_ultimatebuttfucker_a2,WR,Bonus 2,record,zone_record,,-00:00.06,00:00.19,1126549,76561198046601398,[U:1:86335670],
2020-05-06,01:43.14,crashed,jump_ultimatebuttfucker_a2,WR,Map,record,map_record,,-00:05.03,00:32.62,1243127,76561198366368448,[U:1:406102720],
2020-08-20,01:40.22,Matty,jump_ultimatebuttfucker_a2,WR,Map,record,map_record,,-00:02.91,00:13.80,1331115,76561198035204545,[U:1:74938817],
2020-10-26,00:00.60,sumo [_9000],jump_ultimatebuttfucker_a2,WR,Bonus 1,record,zone_record,,-00:00.01,00:00.03,1399028,76561198366368448,[U:1:406102720],
2020-10-30,00:00.52,song,jump_ultimatebuttfucker_a2,WR,Bonus 1,record,zone_record,,-00:00.07,00:00.09,1402976,76561198210286877,[U:1:250021149],
2021-01-08,00:04.14,cander,jump_ultimatebuttfucker_a2,WR,Bonus 2,record,zone_record,,-00:00.07,00:07.02,1471725,76561198318722879,[U:1:358457151],
2021-01-08,00:04.12,cander,jump_ultimatebuttfucker_a2,WR,Bonus 2,record,zone_record,,-00:00.01,00:00.01,1471725,76561198318722879,[U:1:358457151],
2021-01-08,00:03.96,Boshy,jump_ultimatebuttfucker_a2,WR,Bonus 2,record,zone_record,,-00:00.16,00:00.18,1471898,76561198046601398,[U:1:86335670],
2022-11-07,00:03.90,cander,jump_ultimatebuttfucker_a2,WR,Bonus 2,record,zone_record,,-00:00.01,00:00.06,2109692,76561198318722879,[U:1:358457151],
2022-11-07,00:00.43,cander,jump_ultimatebuttfucker_a2,WR,Bonus 1,record,zone_record,,-00:00.12,00:00.15,2109692,76561198318722879,[U:1:358457151],
2022-11-07,00:03.81,Kratos,jump_ultimatebuttfucker_a2,WR,Bonus 2,record,zone_record,,-00:00.09,00:00.10,2110143,76561198930334128,[U:1:970068400],
2023-07-08,01:40.16,unknown,jump_ultimatebuttfucker_a2,WR,Map,observed,wr_split,,,,,,,
2023-07-08,01:30.09,bachira,jump_ultimatebuttfucker_a2,WR,Map,record,map_record,,-00:10.06,00:10.14,2396737,76561198035204545,[U:1:74938817],
2024-09-25,01:26.83,hole entrepreneu,jump_ultimatebuttfucker_a2,WR,Map,announcement,irc,,-00:03.25,,,,,
2024-09-27,01:23.02,Matty,jump_ultimatebuttfucker_a2,WR,Map,record,map_record,,-00:03.81,00:05.74,3059237,76561198035204545,[U:1:74938817],
