date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2021-08-06,04:12.22,bappo,jump_unclesam,WR,Map,announcement,irc_set,,,,,76561198085486146,[U:1:125220418],
2021-08-06,03:13.45,Zike1017,jump_unclesam,WR,Map,record,map_record,,-00:58.77,,1661025,76561198050366275,[U:1:90100547],
2021-08-06,02:25.57,phancy,jump_unclesam,WR,Map,record,map_record,,-00:47.88,,1661036,76561198116189732,[U:1:155924004],
2021-08-06,01:17.52,bappo,jump_unclesam,WR,Course 1,record,zone_first,,,,1661001,76561198085486146,[U:1:125220418],
2021-08-06,02:47.85,bappo,jump_unclesam,WR,Course 2,record,zone_first,,,,1661001,76561198085486146,[U:1:125220418],
2021-08-06,00:52.93,Zike1017,jump_unclesam,WR,Course 1,record,zone_record,,-00:24.58,,1661025,76561198050366275,[U:1:90100547],
2021-08-06,02:14.91,Zike1017,jump_unclesam,WR,Course 2,record,zone_record,,-00:32.94,,1661025,76561198050366275,[U:1:90100547],
2021-08-06,00:39.27,leffunny,jump_unclesam,WR,Course 1,record,zone_record,,-00:05.50,00:34.62,1661025,76561198963005416,[U:1:1002739688],
2021-08-06,00:35.07,leffunny,jump_unclesam,WR,Course 1,record,zone_record,,-00:04.20,00:04.20,1661025,76561198963005416,[U:1:1002739688],
2021-08-06,01:22.87,unknown,jump_unclesam,WR,Map,observed,wr_split,,,,,,,
2021-08-06,00:29.34,salsa,jump_unclesam,WR,Course 1,record,zone_record,,-00:00.16,00:00.27,1661025,76561198149627108,[U:1:189361380],
2021-08-06,00:29.28,salsa,jump_unclesam,WR,Course 1,record,zone_record,,-00:00.06,00:00.06,1661025,76561198149627108,[U:1:189361380],
2021-08-06,00:29.22,salsa,jump_unclesam,WR,Course 1,record,zone_record,,-00:00.06,00:00.06,1661025,76561198149627108,[U:1:189361380],
2021-08-06,00:28.95,salsa,jump_unclesam,WR,Course 1,record,zone_record,,-00:00.27,00:00.27,1661025,76561198149627108,[U:1:189361380],
2021-08-06,01:16.63,phancy,jump_unclesam,WR,Course 2,record,zone_record,,-00:58.27,,1661036,76561198116189732,[U:1:155924004],
2021-08-06,00:45.12,phancy,jump_unclesam,WR,Course 2,record,zone_record,,-00:03.37,00:19.99,1661036,76561198116189732,[U:1:155924004],
2021-08-07,01:11.01,unknown,jump_unclesam,WR,Map,observed,wr_split,,,,,,,
2021-08-07,00:28.18,tourney choke ar,jump_unclesam,WR,Course 1,record,zone_record,,-00:00.22,00:00.61,1661467,,,
2021-08-08,01:07.61,unknown,jump_unclesam,WR,Map,observed,wr_split,,,,,,,
2024-07-21,01:07.60,Waldo,jump_unclesam,WR,Map,command,wr_command,,,,,76561198020256631,[U:1:59990903],
2024-07-08,00:26.08,hole entrepreneu,jump_unclesam,WR,Course 1,record,zone_record,,-00:00.60,00:00.97,2939132,,,
2024-07-21,01:06.88,sam,jump_unclesam,WR,Map,record,map_record,,-00:00.72,00:00.72,2957816,76561198045707908,[U:1:85442180],
2024-07-21,01:05.89,sam,jump_unclesam,WR,Map,record,map_record,,-00:00.99,00:00.99,2957816,76561198045707908,[U:1:85442180],
2024-07-21,00:36.55,sam,jump_unclesam,WR,Course 2,record,zone_record,,-00:00.16,00:00.90,2957816,76561198045707908,[U:1:85442180],
