date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id
2015-06-28,12:16.40,Whiskeyjack,jump_urgent_final,WR,IRCSet,,,,false,111501,,
2015-06-28,05:28.21,879m,jump_urgent_final,WR,IRC,,-06:48.19,,false,111529,,
2015-06-28,04:54.90,Peace,jump_urgent_final,WR,MapRecord,,-00:33.31,,false,111568,76561198055540152,[U:1:95274424]
2015-06-28,04:18.36,:mmph:,jump_urgent_final,WR,MapRun,09:34.13,+05:15.77,,true,111574,,
2015-06-28,02:22.51,jndz,jump_urgent_final,WR,IRC,,-00:07.62,,false,111655,76561198055778722,[U:1:95512994]
2015-06-29,02:16.79,jndz,jump_urgent_final,WR,MapRecord,,-00:05.71,00:05.71,false,112055,76561198055778722,[U:1:95512994]
2015-07-17,02:10.84,Superchuck,jump_urgent_final,WR,MapRecord,,-00:05.95,00:19.01,false,116428,76561198064467753,[U:1:104202025]
2018-02-07,01:49.71,ARANDOMDEADDUDE,jump_urgent_final,WR,MapRun,16:44.00,+14:54.29,,true,570829,,
2018-09-26,01:37.92,Boshy,jump_urgent_final,WR,MapRecord,,-00:06.01,00:06.01,false,773001,76561198046601398,[U:1:86335670]
2023-07-24,01:35.08,spidda,jump_urgent_final,WR,IRC,,-00:03.96,,false,2420523,,
2025-12-03,01:33.02,rev!4,jump_urgent_final,WR,IRC,,-00:02.07,,false,3608304,,
2025-12-06,01:33.01,SniperZof.ttv,jump_urgent_final,WR,MapRun,15:31.60,+13:58.59,,true,3666958,76561199788719645,[U:1:1828453917]
