date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id
2019-07-07,06:36.46,riot,jump_vanilla,WR,IRCSet,,,,false,1004324,,
2019-07-07,05:07.24,jtravs,jump_vanilla,WR,IRC,,-00:58.98,,false,1004340,,
2019-07-07,03:27.07,Starkie,jump_vanilla,WR,IRC,,-01:40.16,,false,1004359,76561198008003429,[U:1:47737701]
2019-07-08,03:06.08,nàmhaid,jump_vanilla,WR,IRC,,-00:20.98,,false,1004858,,
2019-07-08,02:58.37,twitch.tv/vicetf,jump_vanilla,WR,MapRecord,,-00:07.70,00:51.39,false,1005014,,
2019-07-29,02:48.70,Boshy,jump_vanilla,WR,MapRecord,,-00:09.67,00:59.52,false,1021695,76561198046601398,[U:1:86335670]
2019-08-16,02:47.32,jtravs,jump_vanilla,WR,MapRecord,,-00:01.37,00:11.05,false,1035603,76561198366368448,[U:1:406102720]
2020-01-21,02:46.42,Skinny.,jump_vanilla,WR,IRC,,-00:00.90,,false,1154051,,
2020-01-21,02:44.53,vice,jump_vanilla,WR,IRC,,-00:01.88,,false,1154247,76561198366368448,[U:1:406102720]
2020-10-15,02:38.41,cander,jump_vanilla,WR,MapRecord,,-00:06.12,00:06.84,false,1387722,76561198318722879,[U:1:358457151]
2020-11-05,02:28.86,Bunny.,jump_vanilla,WR,MapRecord,,-00:09.55,00:10.96,false,1408683,76561198180610262,[U:1:220344534]
2023-03-29,02:28.53,cander,jump_vanilla,WR,MapRecord,,-00:00.33,00:09.88,false,2250825,76561198318722879,[U:1:358457151]
2023-11-27,02:28.02,LuffinOnBoat,jump_vanilla,WR,MapRecord,,-00:00.51,00:08.17,false,2610931,76561198094197569,[U:1:133931841]
2023-12-17,02:25.54,cander,jump_vanilla,WR,MapRecord,,-00:02.47,00:02.98,false,2641104,76561198318722879,[U:1:358457151]
2025-01-06,02:22.62,cander,jump_vanilla,WR,IRC,,-00:01.41,,false,3207298,,
2025-06-12,02:20.46,law,jump_vanilla,WR,MapRun,09:12.33,+06:51.87,,true,3359331,76561198317890235,[U:1:357624507]
