date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2017-12-18,07:44.36,newjuls,jump_vanished,WR,Course 1,record,zone_record,,-02:08.89,,528656,76561198396018338,[U:1:435752610],
2017-12-18,05:41.04,mortsquad,jump_vanished,WR,Course 1,record,zone_record,,-02:03.32,,528656,76561198043176744,[U:1:82911016],
2017-12-18,17:42.89,newjuls,jump_vanished,WR,Course 2,record,zone_first,,,,528656,76561198396018338,[U:1:435752610],
2017-12-18,26:07.87,newjuls,jump_vanished,WR,Map,record,first_record,,,,528656,76561198396018338,[U:1:435752610],
2017-12-18,04:40.73,newjuls,jump_vanished,WR,Course 1,record,zone_record,,-00:09.96,00:19.04,528656,76561198396018338,[U:1:435752610],
2017-12-18,26:06.02,vice,jump_vanished,WR,Map,announcement,irc,,-00:01.84,,,76561197960496196,[U:1:230468],
2017-12-18,17:21.57,vice,jump_vanished,WR,Map,announcement,irc,,-08:44.45,,,76561197960496196,[U:1:230468],
2017-12-18,02:23.89,Scoot,jump_vanished,WR,Course 1,record,zone_record,,-00:02.06,,528656,76561198049293816,[U:1:89028088],
2017-12-18,10:50.18,Scoot,jump_vanished,WR,Course 2,record,zone_record,,-03:22.65,,528656,76561198049293816,[U:1:89028088],
2017-12-18,13:25.30,Scoot,jump_vanished,WR,Map,record,map_record,,-03:56.26,,528656,76561198049293816,[U:1:89028088],
2017-12-18,01:03.53,Scoot,jump_vanished,WR,Bonus 2,record,zone_record,,-01:21.43,,528656,76561198049293816,[U:1:89028088],
2017-12-18,06:36.08,Boshy,jump_vanished,WR,Map,record,map_record,,-01:57.18,02:42.96,528722,76561198046601398,[U:1:86335670],
2017-12-18,00:41.12,Boshy,jump_vanished,WR,Bonus 2,record,zone_record,,-00:22.41,,528722,76561198046601398,[U:1:86335670],
2017-12-18,02:13.51,Boshy,jump_vanished,WR,Course 1,record,zone_record,,-00:07.51,00:18.15,528722,76561198046601398,[U:1:86335670],
2017-12-18,04:13.27,Boshy,jump_vanished,WR,Course 2,record,zone_record,,-01:54.85,02:28.17,528722,76561198046601398,[U:1:86335670],
2017-12-18,02:06.33,Boshy,jump_vanished,WR,Course 1,record,zone_record,,-00:05.48,00:07.18,528722,76561198046601398,[U:1:86335670],
2017-12-18,01:56.23,Boshy,jump_vanished,WR,Course 1,record,zone_record,,-00:10.09,00:10.09,528722,76561198046601398,[U:1:86335670],
2017-12-25,01:48.54,Boshy,jump_vanished,WR,Course 1,record,zone_record,,-00:03.05,00:07.46,534671,76561198046601398,[U:1:86335670],
2017-12-25,06:15.05,Boshy,jump_vanished,WR,Map,record,map_record,,-00:21.02,00:21.02,534671,76561198046601398,[U:1:86335670],
2018-01-29,00:27.98,Boshy,jump_vanished,WR,Bonus 2,record,zone_record,,-00:01.19,00:13.13,563458,76561198046601398,[U:1:86335670],
2018-05-16,03:53.44,Boshy,jump_vanished,WR,Course 2,command,wr_command,,,,,,,
2019-12-12,00:22.94,zugzwang,jump_vanished,WR,Bonus 2,record,zone_record,,-00:02.17,00:05.04,1122788,76561198046601398,[U:1:86335670],
2020-06-19,01:42.20,anime,jump_vanished,WR,Course 1,record,zone_record,,-00:03.41,00:03.91,1279708,76561198046601398,[U:1:86335670],
2020-07-01,06:00.34,I like to jump,jump_vanished,WR,Map,record,map_record,,-00:14.71,01:19.45,1289464,76561198063901478,[U:1:103635750],
2020-07-01,05:37.74,Boshy,jump_vanished,WR,Map,record,map_record,,-00:22.60,00:24.79,1289551,76561198046601398,[U:1:86335670],
2020-07-01,03:48.87,Boshy,jump_vanished,WR,Course 2,record,zone_record,,-00:04.57,00:04.57,1289551,76561198046601398,[U:1:86335670],
2020-07-01,03:42.28,Boshy,jump_vanished,WR,Course 2,record,zone_record,,-00:06.58,00:06.58,1289551,76561198046601398,[U:1:86335670],
2021-08-21,03:42.09,riot,jump_vanished,WR,Course 2,record,zone_record,,-00:00.20,00:42.37,1678360,76561198065169685,[U:1:104903957],
2024-06-02,05:31.56,alden,jump_vanished,WR,Map,command,wr_command,,,,,,,
2023-01-31,00:19.18,Jorge,jump_vanished,WR,Bonus 2,record,zone_record,,-00:01.36,,2199503,76561198101198779,[U:1:140933051],
2023-02-10,00:17.41,Jorge,jump_vanished,WR,Bonus 2,record,zone_record,,-00:01.77,00:01.77,2210121,76561198101198779,[U:1:140933051],
2024-09-02,05:18.71,unknown,jump_vanished,WR,Map,observed,wr_split,,,,,,,
2024-09-04,01:41.10,spoops,jump_vanished,WR,Course 1,record,zone_record,,-00:00.85,00:03.25,3024235,76561198818533944,[U:1:858268216],
2025-05-14,05:18.70,sammy,jump_vanished,WR,Map,command,wr_command,,,,,,,
