date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2017-11-28,09:24.21,Ochotona,jump_vape_rc3,WR,Map,record,first_record,,,,513280,76561198066589108,[U:1:106323380],
2017-11-28,06:07.30,Robin inda Hood,jump_vape_rc3,WR,Map,record,map_record,,-03:16.90,,513280,76561198020766438,[U:1:60500710],
2017-11-28,04:27.22,Scorch,jump_vape_rc3,WR,Map,record,map_record,,-04:46.25,04:46.25,513286,76561198031941828,[U:1:71676100],
2017-11-28,02:32.51,Swe,jump_vape_rc3,WR,Map,record,map_record,,-00:26.37,00:26.37,513286,76561198382185029,[U:1:421919301],
2017-11-28,02:05.64,Katz,jump_vape_rc3,WR,Map,record,map_record,,-00:42.56,00:42.56,513286,76561198067576863,[U:1:107311135],
2017-11-28,04:16.72,Luke.,jump_vape_rc3,WR,Map,record,map_record,,-00:10.50,,513307,76561198098414676,[U:1:138148948],
2017-11-28,03:11.65,Luke.,jump_vape_rc3,WR,Map,record,map_record,,-01:05.07,01:05.07,513307,76561198098414676,[U:1:138148948],
2017-11-28,03:08.77,Skinny.,jump_vape_rc3,WR,Map,record,map_record,,-00:02.87,,513307,76561198180610262,[U:1:220344534],
2017-11-28,02:54.55,Luke.,jump_vape_rc3,WR,Map,record,map_record,,-00:14.22,00:17.09,513307,76561198098414676,[U:1:138148948],
2017-11-28,02:41.82,Luke.,jump_vape_rc3,WR,Map,record,map_record,,-00:12.73,00:12.73,513307,76561198098414676,[U:1:138148948],
2017-11-28,02:13.85,Luke.,jump_vape_rc3,WR,Map,record,map_record,,-00:18.65,00:27.96,513368,76561198098414676,[U:1:138148948],
2017-11-28,02:00.94,pissy,jump_vape_rc3,WR,Map,record,map_record,,-00:04.69,00:09.04,513459,76561198045707908,[U:1:85442180],
2017-11-28,01:45.26,pissy,jump_vape_rc3,WR,Map,record,map_record,,-00:15.67,00:15.67,513459,76561198045707908,[U:1:85442180],
2017-12-02,01:43.25,class clown,jump_vape_rc3,WR,Map,record,map_record,,-00:02.00,00:02.00,516311,,,
2017-12-02,01:37.62,class clown,jump_vape_rc3,WR,Map,record,map_record,,-00:05.63,00:05.63,516311,,,
2017-12-17,01:36.13,(=^･ω･^=),jump_vape_rc3,WR,Map,record,map_record,,-00:01.48,00:01.48,528155,76561198045707908,[U:1:85442180],
2018-06-07,01:34.24,"and uhh, dog",jump_vape_rc3,WR,Map,record,map_record,,-00:01.88,00:13.23,671355,76561198396018338,[U:1:435752610],
2018-08-15,01:32.32,cherry blood,jump_vape_rc3,WR,Map,record,map_record,,-00:01.91,00:01.99,734892,76561198366368448,[U:1:406102720],
2019-07-12,01:29.81,newjuls,jump_vape_rc3,WR,Map,record,map_record,,-00:02.50,00:04.42,1008171,76561198396018338,[U:1:435752610],
2019-07-13,01:28.77,vice,jump_vape_rc3,WR,Map,record,map_record,,-00:01.04,00:03.54,1008973,76561198366368448,[U:1:406102720],
2019-07-13,01:27.73,newjuls,jump_vape_rc3,WR,Map,record,map_record,,-00:01.04,00:02.08,1009421,76561198396018338,[U:1:435752610],
2019-10-24,01:25.86,knock knock,jump_vape_rc3,WR,Map,record,map_record,,-00:01.87,00:02.91,1087990,76561198366368448,[U:1:406102720],
2024-08-04,01:25.03,Matty,jump_vape_rc3,WR,Map,record,map_record,,-00:00.83,00:03.58,2978808,76561198035204545,[U:1:74938817],
