date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2014-07-14,03:53.72,guyyst,jump_vendetta,WR,Map,record,map_record,,-00:17.71,00:18.38,10675,76561198041343262,STEAM_0:0:40538767,
2014-10-12,03:22.98,Torii,jump_vendetta,WR,Map,record,map_record,,-00:30.74,06:54.59,23140,76561198017342289,[U:1:57076561],
2017-12-17,00:24.22,Ninja Bread Cook,jump_vendetta,WR,Bonus 1,record,zone_record,,-00:01.43,00:01.44,527858,,,
2017-12-17,00:23.04,Boshy,jump_vendetta,WR,Bonus 1,record,zone_record,,-00:01.17,00:01.22,527858,76561198046601398,[U:1:86335670],
2018-01-13,03:05.81,Boshy,jump_vendetta,WR,Map,record,map_record,,-00:06.35,00:06.35,551062,76561198046601398,[U:1:86335670],
2018-01-13,03:03.20,Boshy,jump_vendetta,WR,Map,record,map_record,,-00:02.61,00:02.61,551062,76561198046601398,[U:1:86335670],
2018-01-13,02:59.72,Boshy,jump_vendetta,WR,Map,record,map_record,,-00:03.47,00:03.47,551062,76561198046601398,[U:1:86335670],
2019-02-05,02:48.56,twitch.tv/boshyt,jump_vendetta,WR,Map,record,map_record,,-00:11.16,00:11.16,885554,,,
2019-11-07,00:16.39,wifi net ุ ุ,jump_vendetta,WR,Bonus 2,record,zone_record,,-00:00.05,00:01.34,1098014,,,
2019-11-07,00:16.19,Boshy,jump_vendetta,WR,Bonus 2,record,zone_record,,-00:00.19,00:00.24,1098190,76561198046601398,[U:1:86335670],
2019-11-07,00:15.70,Boshy,jump_vendetta,WR,Bonus 2,record,zone_record,,-00:00.49,00:00.49,1098190,76561198046601398,[U:1:86335670],
2019-12-28,00:56.91,Makly,jump_vendetta,WR,Bonus 3,record,zone_record,,-00:06.08,00:06.08,1134361,76561197976761681,[U:1:16495953],
2019-12-28,00:51.92,Makly,jump_vendetta,WR,Bonus 3,record,zone_record,,-00:04.98,00:04.98,1134361,76561197976761681,[U:1:16495953],
2019-12-28,00:44.97,Rue,jump_vendetta,WR,Bonus 3,record,zone_record,,-00:06.95,00:08.18,1134427,76561198046601398,[U:1:86335670],
2021-03-26,00:16.36,Golly -rng,jump_vendetta,WR,Bonus 2,record,zone_record,,-00:00.03,00:00.28,1547201,76561197988619397,[U:1:28353669],
2021-06-03,00:16.02,cander,jump_vendetta,WR,Bonus 2,record,zone_record,,-00:00.34,00:00.38,1604053,76561198318722879,[U:1:358457151],
2021-07-17,00:47.31,IV,jump_vendetta,WR,Bonus 3,record,zone_record,,-00:04.62,00:04.87,1641013,76561198036170813,[U:1:75905085],
2021-07-17,00:44.55,IV,jump_vendetta,WR,Bonus 3,record,zone_record,,-00:02.76,00:02.76,1641013,76561198036170813,[U:1:75905085],
2021-07-18,01:15.82,IV,jump_vendetta,WR,Bonus 4,record,zone_record,,-00:05.67,03:24.39,1641681,76561198036170813,[U:1:75905085],
2021-07-30,02:48.19,KuzmaFan,jump_vendetta,WR,Map,record,map_record,,-00:00.37,00:02.22,1652019,76561198109904512,[U:1:149638784],
2021-12-22,00:22.98,Rachello,jump_vendetta,WR,Bonus 1,record,zone_record,,-00:00.77,00:02.35,1803202,76561198815853361,[U:1:855587633],
2021-12-22,00:15.63,Rachello,jump_vendetta,WR,Bonus 2,record,zone_record,,-00:00.39,00:00.57,1803202,76561198815853361,[U:1:855587633],
2021-12-22,00:14.83,Rachello,jump_vendetta,WR,Bonus 2,record,zone_record,,-00:00.79,00:00.79,1803202,76561198815853361,[U:1:855587633],
2022-03-21,01:09.58,IV,jump_vendetta,WR,Bonus 4,record,zone_record,,-00:06.24,00:06.24,1893706,76561198036170813,[U:1:75905085],
2022-04-30,00:42.69,Bonzi,jump_vendetta,WR,Bonus 3,record,zone_record,,-02:33.84,02:33.84,1932918,76561198175838507,[U:1:215572779],
2022-05-23,01:05.20,Bonzi,jump_vendetta,WR,Bonus 4,record,zone_record,,-03:26.52,03:26.52,1955070,76561198175838507,[U:1:215572779],
2022-06-10,01:04.09,speedyll,jump_vendetta,WR,Bonus 4,record,zone_record,,-00:01.21,00:01.21,1971738,76561198207307879,[U:1:247042151],
2022-06-10,01:03.15,speedyll,jump_vendetta,WR,Bonus 4,record,zone_record,,-00:00.94,00:00.94,1971738,76561198207307879,[U:1:247042151],
2023-03-17,00:37.44,songie,jump_vendetta,WR,Bonus 3,record,zone_record,,-00:05.25,,2242839,76561198210286877,[U:1:250021149],
2023-03-30,00:32.73,Mücke,jump_vendetta,WR,Bonus 3,record,zone_record,,-00:11.82,00:11.82,2252915,76561198036170813,[U:1:75905085],
2023-05-06,02:43.99,Salty,jump_vendetta,WR,Map,record,map_record,,-00:04.20,00:08.82,2306005,76561198070497462,[U:1:110231734],
2023-05-17,02:42.22,Salty,jump_vendetta,WR,Map,record,map_record,,-00:01.77,00:01.77,2322316,76561198070497462,[U:1:110231734],
2023-05-17,02:37.81,Salty,jump_vendetta,WR,Map,record,map_record,,-00:04.41,00:04.41,2322474,76561198070497462,[U:1:110231734],
2023-08-29,00:29.28,song,jump_vendetta,WR,Bonus 3,record,zone_record,,-00:03.45,00:04.98,2477421,76561198210286877,[U:1:250021149],
2024-01-07,00:57.15,speedyll,jump_vendetta,WR,Bonus 4,record,zone_record,,-00:06.00,00:06.00,2674571,76561198207307879,[U:1:247042151],
2024-01-14,00:22.72,abyss angel (5),jump_vendetta,WR,Bonus 1,record,zone_record,,-00:00.25,00:02.65,2684519,,,
2024-01-14,00:14.70,abyss angel (5),jump_vendetta,WR,Bonus 2,record,zone_record,,-00:00.13,00:00.34,2684519,,,
2025-05-18,00:22.54,52-,jump_vendetta,WR,Bonus 1,record,zone_record,,-00:00.18,00:00.21,3323195,76561198231320900,[U:1:271055172],
2025-08-12,00:21.45,ุ,jump_vendetta,WR,Bonus 1,record,zone_record,,-00:00.44,00:00.50,3447793,76561198201985399,[U:1:241719671],
2025-08-12,00:21.15,ОДИН ЕДК,jump_vendetta,WR,Bonus 1,record,zone_record,,-00:00.15,00:00.15,3448033,,,
