date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2025-09-20,01:00.02,newjuls,jump_vice_b3,WR,Bonus 1 First,,,,false,3500018,76561198396018338,[U:1:435752610],
2025-09-20,02:16.98,newjuls,jump_vice_b3,WR,Bonus 2 First,,,,false,3500018,76561198396018338,[U:1:435752610],
2025-09-20,03:51.50,newjuls,jump_vice_b3,WR,FirstRecord,,,,false,3500018,76561198396018338,[U:1:435752610],
2025-09-20,03:02.90,abelicio,jump_vice_b3,WR,MapRun,15:23.18,+12:20.28,,true,3500064,76561198379602900,[U:1:419337172],
2025-09-20,01:16.64,newjuls,jump_vice_b3,WR,Bonus 2,,-01:00.34,01:00.34,false,3500101,76561198396018338,[U:1:435752610],
2025-09-20,00:33.39,nikita@gosuslugi,jump_vice_b3,WR,Bonus 1,,-00:26.62,,false,3500209,,,
2025-09-20,00:43.06,vice,jump_vice_b3,WR,Bonus 2,,-00:20.12,00:20.12,false,3500275,76561198366368448,[U:1:406102720],
2025-09-20,01:03.18,vice,jump_vice_b3,WR,Bonus 2,,-00:08.66,00:08.66,false,3500275,76561198366368448,[U:1:406102720],
2025-09-20,01:11.84,vice,jump_vice_b3,WR,Bonus 2,,-00:04.80,01:39.64,false,3500275,76561198366368448,[U:1:406102720],
2025-09-20,02:22.62,Eleum Loyce,jump_vice_b3,WR,MapRun,31:37.54,+29:14.92,,true,3500504,76561198223267660,[U:1:263001932],
2025-09-20,02:22.62,th14 marisaB lif,jump_vice_b3,WR,Compact,,,,false,3500542,,,
2025-09-20,00:27.27,nikita@gosuslugi,jump_vice_b3,WR,Bonus 1,,,,true,3501074,,,
2025-09-20,02:10.98,Wandrew,jump_vice_b3,WR,MapRun,27:53.92,+25:42.94,,true,3501160,76561198069123514,[U:1:108857786],
2025-09-21,00:22.18,nikita@gosuslugi,jump_vice_b3,WR,Bonus 1,,,,true,3501710,,,
2025-09-21,00:22.18,nikita@gosuslugi,jump_vice_b3,WR,Bonus 1,,,,false,3502518,,,
2025-09-24,00:19.04,nikita@gosuslugi,jump_vice_b3,WR,Bonus 1,,,,true,3505494,,,
2025-09-24,00:17.91,₍ᐢᐢ₎. us,jump_vice_b3,WR,Bonus 1,,-00:01.12,00:01.23,false,3506182,,,
2025-10-04,02:10.98,sammy -rng,jump_vice_b3,WR,Compact,,,,false,3519467,,,
