date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2020-03-31,02:44.99,resistance is fu,jump_virtuoso_final,WR,Map,record,map_record,,-00:00.34,00:00.34,1211657,,,
2020-03-31,02:37.18,resistance is fu,jump_virtuoso_final,WR,Map,record,map_record,,-00:07.81,00:07.81,1211657,,,
2020-04-10,02:33.93,resistance is fu,jump_virtuoso_final,WR,Map,record,map_record,,-00:03.25,00:03.25,1220746,,,
2020-04-16,02:32.88,mazlli,jump_virtuoso_final,WR,Map,record,map_record,,-00:05.05,00:05.05,1226359,76561198040531861,[U:1:80266133],
2020-04-16,02:30.78,mazlli,jump_virtuoso_final,WR,Map,record,map_record,,-00:02.10,00:02.10,1226359,76561198040531861,[U:1:80266133],
2020-04-16,02:29.78,mazlli,jump_virtuoso_final,WR,Map,record,map_record,,-00:00.99,00:00.99,1226359,76561198040531861,[U:1:80266133],
2020-04-16,02:28.90,resistance is fu,jump_virtuoso_final,WR,Map,record,map_record,,-00:00.88,00:02.48,1226550,,,
2020-04-17,02:27.14,resistance is fu,jump_virtuoso_final,WR,Map,record,map_record,,-00:01.75,00:01.75,1227011,,,
2020-04-19,02:25.33,mazlli,jump_virtuoso_final,WR,Map,record,map_record,,-00:01.81,00:04.45,1228635,76561198040531861,[U:1:80266133],
2020-04-19,02:23.71,resistance is fu,jump_virtuoso_final,WR,Map,record,map_record,,-00:01.62,00:03.43,1228720,,,
2020-04-19,02:22.27,mazlli,jump_virtuoso_final,WR,Map,record,map_record,,-00:01.44,00:03.06,1229048,76561198040531861,[U:1:80266133],
