date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2014-07-11,01:38.29,QuBA,jump_void_b1,WR,Compact,,,,false,10338,,,
2014-07-28,01:29.86,guyyst,jump_void_b1,WR,MapRecord,,-00:08.43,,false,12669,76561198041343262,STEAM_0:0:40538767,
2015-06-01,01:29.86,guyyst,jump_void_b1,WR,Compact,,,,false,101092,,,
2015-06-01,01:29.86,Komposten,jump_void_b1,WR,MapRun,06:36.23,+05:06.37,11:16.42,true,101092,76561197987001984,[U:1:26736256],
2015-06-01,01:29.86,Komposten,jump_void_b1,WR,MapRun,18:05.51,+16:35.65,,true,101092,76561197987001984,[U:1:26736256],
2015-06-01,01:29.86,Rumi,jump_void_b1,WR,MapRun,38:27.02,+36:57.16,,true,101092,76561198040927570,[U:1:80661842],
2015-06-01,01:29.86,func,jump_void_b1,WR,MapRun,02:54.86,+01:25.00,00:17.97,true,101092,76561198088581265,[U:1:128315537],
2015-06-01,01:29.86,porks,jump_void_b1,WR,MapRun,03:28.55,+01:58.69,,true,101092,76561198054239403,[U:1:93973675],
2015-06-01,01:29.86,porks,jump_void_b1,WR,MapRun,06:57.64,+05:27.78,,true,101092,76561198054239403,[U:1:93973675],
2015-06-01,01:29.86,εʍι,jump_void_b1,WR,MapRun,17:43.55,+16:13.69,,true,101092,76561198017834611,[U:1:57568883],
2015-06-01,01:29.87,func,jump_void_b1,WR,MapRun,03:40.84,+02:10.97,,true,101092,76561198088581265,[U:1:128315537],
2015-06-01,01:29.87,porks,jump_void_b1,WR,MapRun,08:31.60,+07:01.73,,true,101092,76561198054239403,[U:1:93973675],
2017-12-05,01:22.68,kidder,jump_void_b1,WR,MapRecord,,-00:01.16,00:07.25,false,517921,76561198000949987,[U:1:40684259],
2017-12-05,01:23.85,kidder,jump_void_b1,WR,MapRun,01:29.93,+00:06.08,00:04.87,true,517921,76561198000949987,[U:1:40684259],
2017-12-05,01:23.85,kidder,jump_void_b1,WR,MapRun,01:34.81,+00:10.96,00:02.24,true,517921,76561198000949987,[U:1:40684259],
2017-12-05,01:23.85,kidder,jump_void_b1,WR,MapRun,02:20.12,+00:56.27,,true,517921,76561198000949987,[U:1:40684259],
2017-12-05,01:22.68,kidder,jump_void_b1,WR,IRC,,-00:01.16,,false,517986,,,
2017-12-05,01:21.32,kidder,jump_void_b1,WR,MapRecord,,-00:01.35,00:01.35,false,518275,76561198000949987,[U:1:40684259],
2017-12-05,01:21.33,kidder,jump_void_b1,WR,MapRun,02:14.96,+00:53.63,,true,518275,76561198000949987,[U:1:40684259],
2017-12-05,01:17.96,kidder,jump_void_b1,WR,IRC,,-00:03.36,,false,518353,76561198000949987,[U:1:40684259],
2017-12-05,01:17.96,kidder,jump_void_b1,WR,MapRecord,,-00:03.36,00:03.36,false,518355,76561198000949987,[U:1:40684259],
2017-12-07,01:16.04,kidder,jump_void_b1,WR,MapRecord,,-00:01.92,00:01.92,false,519736,76561198000949987,[U:1:40684259],
2017-12-07,01:17.97,vAAAAAAAlix,jump_void_b1,WR,MapRun,04:18.37,+03:00.40,,true,519736,76561198114644585,[U:1:154378857],
2017-12-07,01:16.04,kidder,jump_void_b1,WR,IRC,,-00:01.92,,false,519756,,,
2017-12-19,01:16.04,Stockings on the,jump_void_b1,WR,MapRun,05:42.26,+04:26.22,,true,529483,,,
2017-12-19,01:16.04,vice,jump_void_b1,WR,MapRun,02:16.55,+01:00.51,,true,529483,76561197960496196,[U:1:230468],
