date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2014-07-26,00:44.17,oka | poop acade...,jump_wallclimb_v1alpha,WR,MapRecord,,-00:02.59,00:02.59,false,12401,76561198070882254,STEAM_0:0:55308263,
2014-07-31,00:44.17,Seras,jump_wallclimb_v1alpha,WR,Compact,,,,false,13185,,,
2014-08-04,00:40.54,Seras,jump_wallclimb_v1alpha,WR,MapRecord,,-00:03.63,00:03.63,false,13888,76561198070882254,STEAM_0:0:55308263,
2018-02-10,00:36.14,gonk,jump_wallclimb_v1alpha,WR,IRC,,-00:00.94,,false,573936,76561198396018338,[U:1:435752610],
2018-02-10,00:36.14,gonk,jump_wallclimb_v1alpha,WR,MapRecord,,-00:00.94,00:01.16,false,573980,76561198396018338,[U:1:435752610],
2018-06-03,00:35.92,twitch.tv/zike10,jump_wallclimb_v1alpha,WR,MapRecord,,-00:00.22,00:00.33,false,667500,,,
2019-10-28,00:35.26,Arthur Fleck,jump_wallclimb_v1alpha,WR,MapRecord,,-00:00.65,00:06.23,false,1090868,76561198366368448,[U:1:406102720],
2020-01-10,00:33.99,song -cg,jump_wallclimb_v1alpha,WR,IRC,,-00:01.26,,false,1145014,,,
2020-01-10,00:33.99,song -cg,jump_wallclimb_v1alpha,WR,IRC,,-00:01.26,,false,1145017,,,
2020-01-10,00:33.99,song -cg,jump_wallclimb_v1alpha,WR,IRC,,-00:01.26,,false,1145038,,,
2020-01-10,00:33.99,song -cg,jump_wallclimb_v1alpha,WR,MapRecord,,-00:01.26,00:06.20,false,1145054,76561198210286877,[U:1:250021149],
2020-01-10,00:33.99,song -cg,jump_wallclimb_v1alpha,WR,IRC,,-00:01.26,,false,1145064,,,
2020-12-29,00:35.27,ez1,jump_wallclimb_v1alpha,WR,Compact,,,,false,1462462,,,
2021-04-17,00:33.24,⠉ ⠕ ⠇ ⠕,jump_wallclimb_v1alpha,WR,MapRun,00:43.27,+00:10.03,,true,1566448,,,
2021-08-07,00:33.01,kajasumthing,jump_wallclimb_v1alpha,WR,IRC,,-00:00.22,,false,1661688,,,
2021-08-07,00:33.01,kajasumthing,jump_wallclimb_v1alpha,WR,MapRecord,,-00:00.22,00:00.39,false,1661989,76561198091590767,[U:1:131325039],
