date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2021-08-06,04:06.36,slime,jump_weird,WR,IRCSet,,,,false,1660903,,,
2021-08-06,00:03.12,slime,jump_weird,WR,Bonus 1 First,,,,false,1660996,76561198299605097,[U:1:339339369],
2021-08-06,04:06.36,slime,jump_weird,WR,FirstRecord,,,,false,1660996,76561198299605097,[U:1:339339369],
2021-08-06,04:06.36,slime,jump_weird,WR,IRCSet,,,,false,1660997,,,
2021-08-06,04:06.36,slime,jump_weird,WR,IRCSet,,,,false,1660998,,,
2021-08-06,04:06.36,slime,jump_weird,WR,IRCSet,,,,false,1661005,,,
2021-08-06,04:06.36,slime,jump_weird,WR,IRCSet,,,,false,1661006,,,
2021-08-06,00:56.44,kajasumthing,jump_weird,WR,IRC,,-00:04.96,,false,1661007,76561198091590767,[U:1:131325039],
2021-08-06,01:01.41,kajasumthing,jump_weird,WR,IRC,,-00:01.20,,false,1661007,76561198091590767,[U:1:131325039],
2021-08-06,01:02.61,kajasumthing,jump_weird,WR,IRC,,-00:03.25,,false,1661007,76561198091590767,[U:1:131325039],
2021-08-06,01:05.86,kajasumthing,jump_weird,WR,IRC,,-00:02.32,,false,1661007,76561198091590767,[U:1:131325039],
2021-08-06,01:08.19,kajasumthing,jump_weird,WR,IRC,,-00:12.37,,false,1661007,76561198091590767,[U:1:131325039],
2021-08-06,01:30.39,bappo,jump_weird,WR,IRC,,-00:10.62,,false,1661007,,,
2021-08-06,04:06.36,slime,jump_weird,WR,IRCSet,,,,false,1661007,76561198299605097,[U:1:339339369],
2021-08-06,01:02.61,kajasumthing,jump_weird,WR,IRC,,-00:03.25,,false,1661016,76561198091590767,[U:1:131325039],
2021-08-06,01:05.86,kajasumthing,jump_weird,WR,IRC,,-00:02.32,,false,1661016,76561198091590767,[U:1:131325039],
2021-08-06,01:08.19,kajasumthing,jump_weird,WR,IRC,,-00:12.37,,false,1661016,76561198091590767,[U:1:131325039],
2021-08-06,01:30.39,bappo,jump_weird,WR,IRC,,-00:10.62,,false,1661016,,,
2021-08-06,00:56.44,kajasumthing,jump_weird,WR,IRC,,-00:04.96,,false,1661017,,,
2021-08-06,01:01.41,kajasumthing,jump_weird,WR,IRC,,-00:01.20,,false,1661017,,,
2021-08-06,01:02.61,kajasumthing,jump_weird,WR,IRC,,-00:03.25,,false,1661017,,,
2021-08-06,01:05.86,kajasumthing,jump_weird,WR,IRC,,-00:02.32,,false,1661017,,,
2021-08-06,01:08.19,kajasumthing,jump_weird,WR,IRC,,-00:12.37,,false,1661017,,,
2021-08-06,01:30.39,bappo,jump_weird,WR,IRC,,-00:10.62,,false,1661017,76561198085486146,[U:1:125220418],
