date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id
2025-09-27,05:43.20,riotbz,jump_wisp_v1,WR,MapRun,07:08.22,+01:25.02,,true,3509995,76561198065169685,[U:1:104903957]
2025-09-27,05:12.45,GCF jaiden,jump_wisp_v1,WR,MapRecord,,-00:30.75,,false,3510051,76561198059437813,[U:1:99172085]
2025-09-27,04:48.21,Cryptical,jump_wisp_v1,WR,MapRun,05:41.37,+00:53.16,,true,3510239,76561198183308917,[U:1:223043189]
2025-09-27,04:09.22,slair,jump_wisp_v1,WR,MapRecord,,-00:07.96,,false,3510168,,
2025-09-27,03:52.31,Charlie,jump_wisp_v1,WR,MapRun,06:29.73,+02:37.42,,true,3510428,76561197961895147,[U:1:1629419]
2025-09-27,03:21.36,Juicebox,jump_wisp_v1,WR,MapRun,10:56.42,+07:35.06,,true,3510440,76561199526001038,[U:1:1565735310]
2025-09-30,03:07.18,sam,jump_wisp_v1,WR,MapRun,05:54.54,+02:47.36,,true,3514139,76561198045707908,[U:1:85442180]
2025-10-02,02:49.48,Charlie,jump_wisp_v1,WR,MapRecord,,-00:01.86,00:01.86,false,3516857,76561197961895147,[U:1:1629419]
2025-10-05,02:28.91,megawop,jump_wisp_v1,WR,MapRun,06:03.03,+03:34.12,,true,3521114,76561198045778439,[U:1:85512711]
2025-10-05,02:28.90,brbrbr,jump_wisp_v1,WR,MapRun,09:40.24,+07:11.34,,true,3521911,76561198068840752,[U:1:108575024]
2025-10-09,02:14.22,5* ship cleaner,jump_wisp_v1,WR,MapRecord,,-00:03.04,00:07.88,false,3527045,76561198096062185,[U:1:135796457]
