date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2021-05-07,06:19.95,vi -rng,jump_yes_b4,WR,IRCSet,,,,false,1583051,,,
2021-05-07,00:03.60,bay,jump_yes_b4,WR,Bonus 2,,-00:01.09,,false,1583052,76561198151087213,[U:1:190821485],
2021-05-07,00:04.69,vi -rng,jump_yes_b4,WR,Bonus 2 First,,,,false,1583052,76561198172607493,[U:1:212341765],
2021-05-07,00:27.99,Exile,jump_yes_b4,WR,Bonus 1,,-00:03.82,,false,1583052,76561198046776282,[U:1:86510554],
2021-05-07,00:31.81,vi -rng,jump_yes_b4,WR,Bonus 1 First,,,,false,1583052,76561198172607493,[U:1:212341765],
2021-05-07,00:34.83,vi -rng,jump_yes_b4,WR,Bonus 4 First,,,,false,1583052,76561198172607493,[U:1:212341765],
2021-05-07,03:26.70,hex,jump_yes_b4,WR,Bonus 3 First,,,,false,1583052,76561198181342094,[U:1:221076366],
2021-05-07,04:01.90,vi -rng,jump_yes_b4,WR,Ranked,,,,true,1583052,76561198172607493,[U:1:212341765],
2021-05-07,04:01.91,↱kjr↲,jump_yes_b4,WR,MapRun,20:18.57,+16:16.66,,true,1583052,76561198206903132,[U:1:246637404],
2021-05-07,04:40.08,Waldo,jump_yes_b4,WR,MapRecord,,-01:39.87,,false,1583052,76561198020256631,[U:1:59990903],
2021-05-07,04:40.08,Exile,jump_yes_b4,WR,MapRun,32:14.61,+27:34.53,,true,1583052,76561198046776282,[U:1:86510554],
2021-05-07,04:40.08,Jose Valdez,jump_yes_b4,WR,MapRun,43:47.25,+39:07.17,,true,1583052,76561198141180537,[U:1:180914809],
2021-05-07,04:40.08,crazymonkey69 :3,jump_yes_b4,WR,MapRun,20:19.89,+15:39.81,,true,1583052,,,
2021-05-07,04:40.08,hex,jump_yes_b4,WR,MapRun,09:16.48,+04:36.40,,true,1583052,76561198181342094,[U:1:221076366],
2021-05-07,04:40.08,sleepy,jump_yes_b4,WR,MapRun,11:03.96,+06:23.88,,true,1583052,76561198083816511,[U:1:123550783],
2021-05-07,06:19.95,vi -rng,jump_yes_b4,WR,FirstRecord,,,,false,1583052,76561198172607493,[U:1:212341765],
2021-05-07,06:19.95,bay,jump_yes_b4,WR,MapRun,15:17.83,+08:57.88,,true,1583052,76561198151087213,[U:1:190821485],
2021-05-07,06:19.95,cowboyana,jump_yes_b4,WR,MapRun,13:37.00,+07:17.05,,true,1583052,76561198062408952,[U:1:102143224],
2021-05-07,04:40.08,Waldo,jump_yes_b4,WR,IRC,,-01:39.87,,false,1583055,,,
2021-05-07,06:19.95,vi -rng,jump_yes_b4,WR,IRCSet,,,,false,1583055,76561198172607493,[U:1:212341765],
2021-05-07,04:40.08,Waldo,jump_yes_b4,WR,IRC,,-01:39.87,,false,1583056,76561198020256631,[U:1:59990903],
