date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id
2014-07-19,02:04.22,Afterglow -tt,jump_zero,WR,MapRecord,,-00:02.20,00:12.80,false,11472,76561198047849609,STEAM_0:1:43791940
2014-07-30,01:40.54,-shredder_dolphi...,jump_zero,WR,MapRecord,,-00:23.68,00:25.89,false,12994,76561198078488228,STEAM_0:0:59111250
2015-03-22,01:35.71,Soup Can,jump_zero,WR,MapRecord,,-00:04.82,00:18.22,false,73711,,
2015-04-06,01:27.81,5am in the 517,jump_zero,WR,MapRecord,,-00:07.51,00:07.51,false,79834,76561198078488228,[U:1:118222500]
2018-01-05,01:08.24,Soup -tt,jump_zero,WR,IRC,,-00:02.55,,false,544440,,
2020-04-29,01:08.02,Zike1017 ツ -tt,jump_zero,WR,IRC,,-00:00.22,,false,1237868,,
2020-07-16,01:06.33,Chief,jump_zero,WR,MapRun,07:34.83,+06:28.50,,true,1302418,76561198155699202,[U:1:195433474]
2021-01-24,01:04.66,Fluffie,jump_zero,WR,MapRun,03:30.19,+02:25.53,,true,1487176,76561198028114870,[U:1:67849142]
2023-04-10,01:04.44,cander,jump_zero,WR,MapRecord,,-00:00.22,00:00.94,false,2268778,76561198318722879,[U:1:358457151]
2023-05-08,01:04.29,techies spammer,jump_zero,WR,IRC,,-00:00.15,,false,2308966,,
2023-05-08,01:02.11,techies spammer,jump_zero,WR,MapRecord,,-00:02.17,00:02.17,false,2309051,76561198029285343,[U:1:69019615]
2025-01-05,01:01.66,vice,jump_zero,WR,IRC,,-00:00.45,,false,3205231,,
2025-01-05,01:01.02,vice,jump_zero,WR,IRC,,-00:00.64,,false,3205523,,
2025-01-05,01:01.00,vice,jump_zero,WR,IRC,,-00:00.01,,false,3205676,,
2025-01-05,01:00.21,vice,jump_zero,WR,IRC,,-00:00.79,,false,3205817,,
2025-05-06,01:00.20,red 40 reaper,jump_zero,WR,MapRun,09:05.08,+08:04.88,,true,3308105,76561198067840183,[U:1:107574455]
