date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2019-10-07,03:02.36,revontulet,jump_ziggurat_b3_zip,WR,Bonus 1,command,wr_command,,,,,,,
2019-10-07,03:19.96,revontulet,jump_ziggurat_b3_zip,WR,Map,command,wr_command,,,,,,,
2022-06-25,03:19.54,tomatotom@goblin,jump_ziggurat_b3_zip,WR,Map,record,map_record,,-00:00.42,00:01.54,1986645,,,
2023-02-18,02:50.20,poco hayer,jump_ziggurat_b3_zip,WR,Map,record,map_record,,-00:29.34,05:02.62,2218262,76561198343592483,[U:1:383326755],
2023-02-18,02:50.01,poco hayer,jump_ziggurat_b3_zip,WR,Bonus 1,record,zone_record,,-00:03.84,00:09.10,2218262,76561198343592483,[U:1:383326755],
2023-03-13,02:32.89,Helmi.,jump_ziggurat_b3_zip,WR,Bonus 1,record,zone_record,,-00:17.11,01:35.14,2239720,76561198201985399,[U:1:241719671],
2024-05-06,02:48.22,x_ray2700,jump_ziggurat_b3_zip,WR,Map,announcement,irc,,-00:01.98,,,,,
2024-05-07,02:47.65,x_ray2700,jump_ziggurat_b3_zip,WR,Map,record,map_record,,-00:00.57,00:00.57,2849660,76561198979680671,[U:1:1019414943],
2024-12-19,02:43.11,nikita@gosuslugi,jump_ziggurat_b3_zip,WR,Map,command,wr_command,,,,,,,
2025-05-12,02:24.51,52-,jump_ziggurat_b3_zip,WR,Bonus 1,record,zone_record,,-00:08.38,00:19.50,3315879,76561198231320900,[U:1:271055172],
2025-09-29,02:15.78,nikita@gosuslugi,jump_ziggurat_b3_zip,WR,Bonus 1,command,rank_command,,,,,,,
