date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2020-07-24,14:03.57,Acecle,jump_zone_rc2,WR,MapRun,1:13:54.17,+59:50.60,,true,1308702,76561198050068303,[U:1:89802575],
2020-07-24,14:03.57,Carter,jump_zone_rc2,WR,MapRun,46:31.18,+32:27.61,,true,1308702,76561198036170813,[U:1:75905085],
2020-07-24,14:03.57,Plank ∞,jump_zone_rc2,WR,MapRun,1:21:19.97,+1:07:16.40,,true,1308702,76561198254993986,[U:1:294728258],
2020-07-24,14:03.57,Spooky,jump_zone_rc2,WR,MapRun,1:08:30.53,+54:26.96,,true,1308702,76561198066171590,[U:1:105905862],
2020-07-24,14:03.57,Ww! Darkknio™,jump_zone_rc2,WR,MapRun,30:07.00,+16:03.43,,true,1308702,76561198063242136,[U:1:102976408],
2020-07-24,14:03.57,kojso,jump_zone_rc2,WR,MapRun,32:31.96,+18:28.39,,true,1308702,76561198071601578,[U:1:111335850],
2020-07-24,14:03.57,ondkaja,jump_zone_rc2,WR,MapRun,41:48.26,+27:44.69,,true,1308702,76561198010123351,[U:1:49857623],
2020-07-24,14:03.57,shrug ツ,jump_zone_rc2,WR,MapRun,1:45:40.14,+1:31:36.57,,true,1308702,76561198079365986,[U:1:119100258],
2020-07-24,14:03.58,old man,jump_zone_rc2,WR,MapRun,1:13:36.69,+59:33.11,,true,1308702,76561198020241649,[U:1:59975921],
2020-07-24,14:03.57,Elandi!! -mm -So,jump_zone_rc2,WR,MapRun,30:58.34,+16:54.77,,true,1308875,,,
2020-07-24,14:03.57,Moop,jump_zone_rc2,WR,MapRun,1:03:37.96,+49:34.39,,true,1308875,76561198012159865,[U:1:51894137],
2020-07-25,14:03.57,Boshy,jump_zone_rc2,WR,Compact,,,,false,1309336,,,
2020-07-25,14:03.57,Boshy,jump_zone_rc2,WR,Compact,,,,false,1309336,,,
2020-07-25,14:03.57,Boshy,jump_zone_rc2,WR,Compact,,,,false,1309336,,,
2020-07-25,14:03.57,Meti,jump_zone_rc2,WR,MapRun,38:15.55,+24:11.98,,true,1309336,76561198096749316,[U:1:136483588],
2020-07-25,00:02.35,cander,jump_zone_rc2,WR,Bonus 5,,-00:00.02,00:00.05,false,1309362,76561198318722879,[U:1:358457151],
2020-07-25,00:03.51,cander,jump_zone_rc2,WR,Bonus 4,,-00:00.02,00:00.02,false,1309362,76561198318722879,[U:1:358457151],
2020-07-25,00:04.04,cander,jump_zone_rc2,WR,Bonus 2,,-00:00.01,00:00.43,false,1309362,76561198318722879,[U:1:358457151],
2020-07-25,14:03.57,Boshy,jump_zone_rc2,WR,Ranked,,,,true,1309362,,,
2020-07-25,14:03.57,cander,jump_zone_rc2,WR,MapRun,32:48.22,+18:44.65,,true,1309362,76561198318722879,[U:1:358457151],
2020-07-25,00:28.61,Boshy,jump_zone_rc2,WR,Course 1,,,,false,1309547,,,
2020-07-25,14:03.57,sol,jump_zone_rc2,WR,MapRun,51:09.17,+37:05.60,,true,1309547,76561198063048001,[U:1:102782273],
2020-07-25,14:03.58,Megawop,jump_zone_rc2,WR,MapRun,53:15.96,+39:12.38,,true,1309547,76561198045778439,[U:1:85512711],
2020-07-25,00:28.00,vice,jump_zone_rc2,WR,Course 1,,-00:00.61,00:00.74,false,1309704,76561198366368448,[U:1:406102720],
2020-07-25,01:07.36,cander,jump_zone_rc2,WR,Course 2,,-00:04.12,00:05.71,false,1309704,76561198318722879,[U:1:358457151],
2020-07-25,14:03.57,Boshy,jump_zone_rc2,WR,Compact,,,,false,1309704,,,
2020-07-25,00:27.73,Boshy,jump_zone_rc2,WR,Course 1,,-00:00.18,00:00.18,false,1309818,76561198046601398,[U:1:86335670],
2020-07-25,00:27.91,Boshy,jump_zone_rc2,WR,Course 1,,-00:00.09,00:00.25,false,1309818,76561198046601398,[U:1:86335670],
2020-07-25,01:04.04,Boshy,jump_zone_rc2,WR,Course 2,,-00:00.82,00:00.82,false,1309818,76561198046601398,[U:1:86335670],
2020-07-25,01:04.87,Boshy,jump_zone_rc2,WR,Course 2,,-00:02.48,00:06.61,false,1309818,76561198046601398,[U:1:86335670],
2020-07-26,00:03.48,song,jump_zone_rc2,WR,Bonus 4,,-00:00.03,00:00.05,false,1310142,76561198210286877,[U:1:250021149],
2020-07-28,14:03.57,Boshy,jump_zone_rc2,WR,Ranked,,,,true,1312213,,,
2020-07-29,00:02.14,cander,jump_zone_rc2,WR,Bonus 6,,-00:00.09,00:00.13,false,1313014,76561198318722879,[U:1:358457151],
2020-07-29,00:03.97,cander,jump_zone_rc2,WR,Bonus 2,,-00:00.01,00:00.04,false,1313014,76561198318722879,[U:1:358457151],
2020-07-29,14:03.57,twitch.tv/boshyt,jump_zone_rc2,WR,Compact,,,,false,1313014,,,
2020-07-29,14:03.57,Mc Biggest Fan,jump_zone_rc2,WR,MapRun,18:21.77,+04:18.20,,true,1313014,76561198366368448,[U:1:406102720],
2020-07-29,14:03.57,banana,jump_zone_rc2,WR,MapRun,36:10.11,+22:06.54,,true,1313014,76561198095278714,[U:1:135012986],
2020-07-29,14:03.57,twitch.tv/boshyt,jump_zone_rc2,WR,Ranked,,,,true,1313014,,,
2020-07-29,14:03.57,twitch.tv/boshyt,jump_zone_rc2,WR,Ranked,,,,true,1313014,,,
2020-07-29,00:03.79,Boshy,jump_zone_rc2,WR,Bonus 2,,-00:00.04,00:00.04,false,1313082,76561198046601398,[U:1:86335670],
