date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2022-09-08,14:53.46,もふもふ,sj_naissancee_tf2,WR,IRCSet,,,,false,2050852,,,
2022-09-08,14:53.46,もふもふ,sj_naissancee_tf2,WR,FirstRecord,,,,false,2050859,76561198210286877,[U:1:250021149],
2022-09-08,14:53.46,もふもふ,sj_naissancee_tf2,WR,Compact,,,,false,2050859,76561198210286877,[U:1:250021149],
2022-09-08,14:53.46,もふもふ,sj_naissancee_tf2,WR,IRCSet,,,,false,2050920,,,
2022-09-11,07:19.66,Tritibellum,sj_naissancee_tf2,WR,MapRecord,,-07:33.79,,false,2054099,76561199058834773,[U:1:1098569045],
2022-09-11,07:19.66,Tritibellum,sj_naissancee_tf2,WR,IRC,,-07:33.79,,false,2054138,,,
2022-09-24,03:25.30,triti,sj_naissancee_tf2,WR,MapRecord,,-03:54.36,03:54.36,false,2067627,76561199058834773,[U:1:1098569045],
2022-09-24,07:19.66,triti,sj_naissancee_tf2,WR,Ranked,,,,true,2067627,76561199058834773,[U:1:1098569045],
2022-09-24,07:19.66,triti,sj_naissancee_tf2,WR,Ranked,,,,true,2067627,76561199058834773,[U:1:1098569045],
2022-09-24,03:25.30,triti,sj_naissancee_tf2,WR,IRC,,-03:54.36,,false,2067670,,,
2023-03-18,03:25.31,punchy the cat,sj_naissancee_tf2,WR,MapRun,1:16:26.61,+1:13:01.30,,true,2244271,76561198816817995,[U:1:856552267],
2023-03-19,02:54.10,riot,sj_naissancee_tf2,WR,MapRecord,,-00:31.20,,false,2245246,76561198065169685,[U:1:104903957],
2023-03-19,02:54.10,riot,sj_naissancee_tf2,WR,IRC,,-00:31.20,,false,2245275,,,
2023-03-19,02:54.10,riot,sj_naissancee_tf2,WR,IRC,,-00:31.20,,false,2245276,,,
2023-05-26,02:54.10,deluxeuser,sj_naissancee_tf2,WR,MapRun,10:23.62,+07:29.52,,true,2334486,76561198417147943,[U:1:456882215],
2023-05-26,02:54.10,riot,sj_naissancee_tf2,WR,Ranked,,,,true,2334486,,,
2023-08-02,02:54.10,local sj_naissan,sj_naissancee_tf2,WR,MapRun,1:13:05.26,+1:10:11.16,,true,2433953,,,
2023-09-11,02:54.10,newjuls,sj_naissancee_tf2,WR,MapRun,46:59.23,+44:05.13,,true,2497102,76561198396018338,[U:1:435752610],
2023-09-11,02:54.10,riotbz,sj_naissancee_tf2,WR,Ranked,,,,true,2497102,76561198065169685,[U:1:104903957],
2024-04-12,02:54.11,sniperxdkoks,sj_naissancee_tf2,WR,MapRun,1:06:41.10,+1:03:46.99,,true,2813597,76561198841101139,[U:1:880835411],
2024-04-14,02:54.10,th14 marisaB lif,sj_naissancee_tf2,WR,MapRun,17:14.74,+14:20.64,,true,2816208,,,
2024-04-30,02:54.10,yep yep close th,sj_naissancee_tf2,WR,MapRun,05:11.11,+02:17.01,,true,2838613,,,
2024-06-09,02:54.11,Helmi. -CC,sj_naissancee_tf2,WR,MapRun,13:00.90,+10:06.79,,true,2895568,76561198201985399,[U:1:241719671],
2024-06-10,02:54.10,riotbz,sj_naissancee_tf2,WR,Compact,,,,false,2897957,,,
2024-06-11,02:54.11,conorbb,sj_naissancee_tf2,WR,MapRun,06:39.75,+03:45.64,,true,2899578,76561198101725605,[U:1:141459877],
2024-06-25,02:54.10,riotbz,sj_naissancee_tf2,WR,Ranked,,,,true,2920721,,,
2024-07-03,02:54.10,celeztial,sj_naissancee_tf2,WR,MapRun,11:06.04,+08:11.94,,true,2931880,76561198996378868,[U:1:1036113140],
2024-07-03,02:54.10,riotbz,sj_naissancee_tf2,WR,Ranked,,,,true,2931880,,,
2024-07-03,02:54.10,vice,sj_naissancee_tf2,WR,MapRun,03:54.91,+01:00.81,02:49.74,true,2931880,76561198366368448,[U:1:406102720],
2024-07-09,02:51.31,rubi,sj_naissancee_tf2,WR,IRC,,-00:02.79,,false,2940333,,,
2024-07-09,02:51.31,rubi,sj_naissancee_tf2,WR,MapRecord,,-00:02.79,00:04.96,false,2940311,76561198816817995,[U:1:856552267],
2024-07-09,02:51.31,rubi,sj_naissancee_tf2,WR,IRC,,-00:02.79,,false,2940472,,,
2024-07-09,02:51.31,rubi,sj_naissancee_tf2,WR,IRC,,-00:02.79,,false,2940470,,,
2024-07-09,02:51.31,rubi,sj_naissancee_tf2,WR,IRC,,-00:02.79,,false,2940408,,,
2024-07-09,02:51.31,rubi,sj_naissancee_tf2,WR,IRC,,-00:02.79,,false,2940481,,,
2024-07-09,02:51.31,rubi,sj_naissancee_tf2,WR,IRC,,-00:02.79,,false,2940480,,,
2024-07-09,02:51.31,rubi,sj_naissancee_tf2,WR,IRC,,-00:02.79,,false,2940442,,,
2024-07-09,02:51.31,rubi,sj_naissancee_tf2,WR,IRC,,-00:02.79,,false,2940471,,,
2024-07-09,02:51.31,rubi,sj_naissancee_tf2,WR,IRC,,-00:02.79,,false,2940439,,,
2024-07-09,02:51.31,rubi,sj_naissancee_tf2,WR,IRC,,-00:02.79,,false,2940464,,,
2024-07-17,02:51.31,rubi,sj_naissancee_tf2,WR,Ranked,,,,true,2952835,,,
2024-08-28,02:51.32,garf,sj_naissancee_tf2,WR,MapRun,47:00.18,+44:08.86,,true,3014539,76561199243400809,[U:1:1283135081],
2024-10-13,02:51.32,nikita@gosuslugi,sj_naissancee_tf2,WR,MapRun,14:35.73,+11:44.41,,true,3081762,,,
2024-12-11,02:51.31,rubi,sj_naissancee_tf2,WR,Ranked,,,,true,3168943,,,
2025-04-27,02:51.31,sgt Bytheway,sj_naissancee_tf2,WR,MapRun,12:45.87,+09:54.56,,true,3294918,76561198094169965,[U:1:133904237],
2025-05-27,02:51.32,iff,sj_naissancee_tf2,WR,Ranked,,,,true,3335815,,,
2025-06-12,02:51.32,+_+,sj_naissancee_tf2,WR,Compact,,,,false,3358923,,,
2025-07-16,02:51.32,gambling,sj_naissancee_tf2,WR,MapRun,20:14.42,+17:23.10,,true,3407268,76561198408820023,[U:1:448554295],
2025-10-31,02:51.32,No grands. | mga,sj_naissancee_tf2,WR,MapRun,47:00.78,+44:09.46,,true,3557235,,,
2025-11-08,02:51.31,[GEWP] THE frein,sj_naissancee_tf2,WR,MapRun,15:13.59,+12:22.28,,true,3567617,,,
2025-11-08,02:51.32,kor지나가던,sj_naissancee_tf2,WR,Ranked,,,,true,3567617,,,
