date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2020-10-31,10:28.56,easye -cg,sj_providence_tf,WR,Map,record,first_record,,,,1404272,76561198047753332,[U:1:87487604],
2020-12-06,04:49.54,riot,sj_providence_tf,WR,Map,announcement,irc_set,,,,,76561198065169685,[U:1:104903957],
2020-12-06,03:35.20,unknown,sj_providence_tf,WR,Map,observed,wr_split,,,,,,,
2020-12-06,02:47.13,tomato tom,sj_providence_tf,WR,Map,record,map_record,,-00:06.10,00:32.47,1439211,76561198120374593,[U:1:160108865],
2020-12-06,02:37.77,tomato tom,sj_providence_tf,WR,Map,record,map_record,,-00:09.36,00:09.36,1439211,76561198120374593,[U:1:160108865],
2020-12-06,02:36.30,tomato tom,sj_providence_tf,WR,Map,record,map_record,,-00:01.47,00:01.47,1439211,76561198120374593,[U:1:160108865],
2020-12-07,02:33.70,tomato tom,sj_providence_tf,WR,Map,record,map_record,,-00:02.59,00:02.59,1439349,76561198120374593,[U:1:160108865],
2020-12-07,02:32.91,tomato tom,sj_providence_tf,WR,Map,record,map_record,,-00:00.79,00:00.79,1439349,76561198120374593,[U:1:160108865],
2020-12-07,02:29.35,tomato tom,sj_providence_tf,WR,Map,record,map_record,,-00:03.55,00:03.55,1439349,76561198120374593,[U:1:160108865],
2024-01-26,02:22.31,unknown,sj_providence_tf,WR,Map,observed,wr_split,,,,,,,
2024-05-22,02:22.30,yeye (sick),sj_providence_tf,WR,Map,command,wr_command,,,,,,,
